Sample	Total Reads	Total Passed QC	Mapped	Supplementary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
S1E11	100.0	100.0	99.62419873767647	1.3788673737264845	0.0	98.6211326262735	96.29817307969309	98.15440182063631	0.09092954331367543	1.534966689841717	0.7624270504436789
S1E11.filtered	100.0	100.0	100.0	0.0	0.0	100.0	99.07072519533158	99.92819788737741	0.07180211262258318	0.7048796179210134	0.7048796179210134
S1E12	100.0	100.0	99.60397142414166	1.5542330824773454	0.0	98.44576691752266	95.6891822137549	97.95640834391898	0.09332999774533472	1.8680541679762785	0.9268036457058152
S1E12.filtered	100.0	100.0	100.0	0.0	0.0	100.0	98.85286876975853	99.92771600498781	0.07228399501218497	0.8824458920376052	0.8824458920376052
S1E13	100.0	100.0	99.66867712310635	2.027511418551688	0.0	97.97248858144832	94.74541319547247	97.55541027695743	0.08575542759723986	2.2824084174253425	1.2221130143685077
S1E13.filtered	100.0	100.0	100.0	0.0	0.0	100.0	98.40128658132696	99.9294325627873	0.07056743721270196	1.2306901807415718	1.2306901807415718
S1S21	100.0	100.0	99.60436478327632	1.5808878399246564	0.0	98.41911216007534	95.89796191675536	97.93988500528474	0.08359193806693391	1.6936165307173952	0.9142595143002116
S1S21.filtered	100.0	100.0	100.0	0.0	0.0	100.0	98.82599878704119	99.93517503411796	0.06482496588203836	0.9236229601496169	0.9236229601496169
S1S22	100.0	100.0	99.49347717467091	1.547238345284655	0.0	98.45276165471535	95.89885015755767	97.85026381442566	0.09597501496059745	1.5937641260386766	0.7991249113184806
S1S22.filtered	100.0	100.0	100.0	0.0	0.0	100.0	98.96747670591752	99.92748940931354	0.07251059068645674	0.7780135821822248	0.7780135821822248
S1S23	100.0	100.0	99.58792246737472	1.553585114760994	0.0	98.44641488523901	95.61327103752907	97.94567620791032	0.08866114470340607	1.8892062226441384	0.9674233303340928
S1S23.filtered	100.0	100.0	100.0	0.0	0.0	100.0	98.77505189180066	99.93146977408898	0.06853022591102237	0.9144219258219183	0.9144219258219183
