Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
S1E13_val_1	(1, 38.66518902834718)	(2, 39.182905032345175)	(3, 39.23336782638571)	(4, 39.36626768853903)	(5, 39.40622891371418)	(6, 39.420881484892014)	(7, 39.4388640685009)	(8, 39.45624107792205)	(9, 39.46934850955905)	(10, 39.48423211998633)	(15, 39.58579973721867)	(20, 39.60675672948848)	(25, 39.42865601698805)	(30, 39.36183452229068)	(35, 39.35267289530406)	(40, 39.335436352186605)	(45, 39.31293569806398)	(50, 39.287600863365064)	(55, 39.26588633573745)	(60, 39.231342996069785)	(65, 39.21477639486947)	(70, 39.17564949543297)	(75, 39.145184864358065)	(80, 39.09610849211267)	(85, 39.03727913368689)	(90, 38.95967875808774)	(95, 38.8827247832065)	(100, 38.83719037790309)	(105, 38.797941623885094)	(110, 38.75925909151509)	(115, 38.69492167648242)	(120, 38.58137212328379)	(125, 38.405110612439714)	(130, 38.22355131899072)	(135, 38.06211196865548)	(140, 37.94054345043032)	(145, 37.86629433682812)	(150, 38.28220806970012)
S1E13_val_2	(1, 38.55359605942073)	(2, 39.019972972970066)	(3, 39.17762788585206)	(4, 39.262213515688494)	(5, 39.339949959429326)	(6, 39.37892104713547)	(7, 39.3670609175568)	(8, 39.423383621025906)	(9, 39.439230124539755)	(10, 39.472875344361135)	(15, 39.49744491378476)	(20, 39.50066311325223)	(25, 39.281227773055534)	(30, 39.22852913726958)	(35, 39.212950796924545)	(40, 39.19524442511373)	(45, 39.17291169916477)	(50, 39.14755597350017)	(55, 39.12143373884606)	(60, 39.09402168879556)	(65, 39.05276758966536)	(70, 39.03323852238243)	(75, 38.97818632526598)	(80, 38.93295805992009)	(85, 38.88724900734301)	(90, 38.82803623342327)	(95, 38.768074571556)	(100, 38.70070406665788)	(105, 38.640144696338304)	(110, 38.58820625971085)	(115, 38.51363649889023)	(120, 38.470314324854954)	(125, 38.41079764808526)	(130, 38.36499794961184)	(135, 38.31999478137142)	(140, 38.28543203895268)	(145, 38.32659722188637)	(150, 38.90663401183452)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 38.78418419387097)	(2, 39.26775355461549)	(3, 39.29562619723305)	(4, 39.430538549644844)	(5, 39.46830345431395)	(6, 39.48011729959787)	(7, 39.49222621427824)	(8, 39.50886477281754)	(9, 39.516374513804635)	(10, 39.52936647467698)	(15, 39.622868051183815)	(20, 39.64121500272217)	(25, 39.47967225677022)	(30, 39.411053280565035)	(35, 39.399467621127954)	(40, 39.38083007985164)	(45, 39.35118013705593)	(50, 39.310934210723744)	(55, 39.24179047452512)	(60, 39.12022817892846)	(65, 38.99229191737728)	(70, 38.805227138791544)	(75, 38.492115130855105)	(80, 38.030341332247836)	(85, 37.454986674961816)	(90, 36.80145694406087)	(95, 36.135800189589865)	(100, 35.46357902314302)	(105, 34.77708371033162)	(110, 34.09662951966084)	(115, 33.54735448276959)	(120, 33.54848283782733)	(125, 34.10503437943304)	(130, 34.49497239194262)	(135, 34.56866139026893)	(140, 34.50876949791893)	(145, 34.404679133002745)	(150, 34.368587942895424)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 38.763363208244925)	(2, 39.18634786891706)	(3, 39.31404857653447)	(4, 39.3867264519466)	(5, 39.43729280228279)	(6, 39.46955481837212)	(7, 39.45696274052707)	(8, 39.50735223948116)	(9, 39.51597999253073)	(10, 39.54536997676675)	(15, 39.561874906574694)	(20, 39.55751536866616)	(25, 39.3539994507662)	(30, 39.27563595475943)	(35, 39.24006113609587)	(40, 39.170095356622106)	(45, 39.075500397526454)	(50, 38.93776733043012)	(55, 38.76529487503288)	(60, 38.56840686264654)	(65, 38.36927666876683)	(70, 38.18780480432994)	(75, 37.982367095645856)	(80, 37.801197755172225)	(85, 37.612174950727)	(90, 37.42278457214267)	(95, 37.26527661480337)	(100, 37.16188756723109)	(105, 37.10426585856395)	(110, 37.08165982416129)	(115, 37.05307230415256)	(120, 37.08297148200118)	(125, 37.100651310345505)	(130, 37.134240446879666)	(135, 37.18119389211538)	(140, 37.2216127436425)	(145, 37.269781525412796)	(150, 37.294079590818654)
S1S21_val_1	(1, 38.78472714863563)	(2, 39.26896742486693)	(3, 39.29671608580708)	(4, 39.431253881566654)	(5, 39.46899770103219)	(6, 39.48043213649171)	(7, 39.49278159272137)	(8, 39.509095380811566)	(9, 39.51682564423564)	(10, 39.52944747223107)	(15, 39.62323661129318)	(20, 39.64212252384974)	(25, 39.4843441219233)	(30, 39.41903278326134)	(35, 39.407726131980226)	(40, 39.38902709662737)	(45, 39.363273448500884)	(50, 39.337955108350684)	(55, 39.314416419334606)	(60, 39.27900195595565)	(65, 39.26276063716129)	(70, 39.224664935234486)	(75, 39.19466148058111)	(80, 39.144831397571195)	(85, 39.0872773115793)	(90, 39.01051083383255)	(95, 38.935576492182555)	(100, 38.88587155547259)	(105, 38.842581376383706)	(110, 38.79307090323334)	(115, 38.7228421319366)	(120, 38.610018594317765)	(125, 38.43960035029636)	(130, 38.26320387347456)	(135, 38.10629852605269)	(140, 37.99368050194341)	(145, 37.93247890326271)	(150, 38.256420556291786)
S1S21_val_2	(1, 38.761079547803035)	(2, 39.18450147267169)	(3, 39.312560816404975)	(4, 39.385395944839644)	(5, 39.436194643813074)	(6, 39.46840774882627)	(7, 39.45611891490959)	(8, 39.50661012841389)	(9, 39.51549160343787)	(10, 39.54519008091243)	(15, 39.5623924189042)	(20, 39.563267881814404)	(25, 39.37590218045282)	(30, 39.32243142780531)	(35, 39.30032754442776)	(40, 39.27607274731677)	(45, 39.24752028894084)	(50, 39.216327713386235)	(55, 39.18451643510579)	(60, 39.15273673289474)	(65, 39.10686514109623)	(70, 39.08318023243412)	(75, 39.0251098131096)	(80, 38.97649191977319)	(85, 38.92742076138314)	(90, 38.86496492201891)	(95, 38.80054200007369)	(100, 38.73072368512926)	(105, 38.66551525999823)	(110, 38.60947864807274)	(115, 38.53163600167393)	(120, 38.485923259387405)	(125, 38.42628865507781)	(130, 38.37808857793198)	(135, 38.33436744254006)	(140, 38.30341564836744)	(145, 38.345959550135355)	(150, 38.874779212786244)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 38.74395883999368)	(2, 39.225792448996806)	(3, 39.25337818159014)	(4, 39.39085898926423)	(5, 39.42829550126594)	(6, 39.44390748262209)	(7, 39.45962635948016)	(8, 39.47652710094403)	(9, 39.485322214519776)	(10, 39.500470994967706)	(15, 39.59119652490678)	(20, 39.60868296059994)	(25, 39.42546874574862)	(30, 39.34876747885746)	(35, 39.33383130599676)	(40, 39.310865845320556)	(45, 39.2716587092407)	(50, 39.20775182511702)	(55, 39.07827147645338)	(60, 38.93218311703889)	(65, 38.796646818086124)	(70, 38.544579154009405)	(75, 38.09434959785902)	(80, 37.4756532156655)	(85, 36.79538599437092)	(90, 36.04711848963834)	(95, 35.294644656604746)	(100, 34.56360742636615)	(105, 33.89342043150377)	(110, 33.313699701337654)	(115, 32.917582006285976)	(120, 32.90872159139273)	(125, 33.27996192890508)	(130, 33.684210181195155)	(135, 33.902535339172786)	(140, 33.98883863517724)	(145, 34.00579889667739)	(150, 34.02602168261765)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 38.76857749489809)	(2, 39.172393780718814)	(3, 39.288930151113085)	(4, 39.34840556677241)	(5, 39.40601545222011)	(6, 39.45160609279141)	(7, 39.43222609349273)	(8, 39.48834729902372)	(9, 39.493501563443715)	(10, 39.519356035111976)	(15, 39.5324454572249)	(20, 39.520067423707346)	(25, 39.29838739599211)	(30, 39.20542020335656)	(35, 39.16385795178615)	(40, 39.08262718685329)	(45, 38.980313136889734)	(50, 38.833369225454305)	(55, 38.64721592750739)	(60, 38.439413438578526)	(65, 38.22731225665086)	(70, 38.040789674515324)	(75, 37.83985160343495)	(80, 37.663855376399965)	(85, 37.47941919657943)	(90, 37.29079686474135)	(95, 37.13732823423036)	(100, 37.03284226555026)	(105, 36.97991515969795)	(110, 36.960741346496285)	(115, 36.93575158377763)	(120, 36.96767628433564)	(125, 36.985574199810294)	(130, 37.02019877810293)	(135, 37.06471452717146)	(140, 37.10373996029831)	(145, 37.14838344076153)	(150, 37.17393222233469)
S1S22_val_1	(1, 38.745424360796065)	(2, 39.22720975422593)	(3, 39.25517945761735)	(4, 39.39187436168418)	(5, 39.429502994761215)	(6, 39.44465415281871)	(7, 39.46043235307475)	(8, 39.476982842592285)	(9, 39.48632962886079)	(10, 39.50097836591248)	(15, 39.591884192430506)	(20, 39.60979769598424)	(25, 39.43247406518323)	(30, 39.36013545828931)	(35, 39.345368634172765)	(40, 39.322396036172066)	(45, 39.29304863947148)	(50, 39.26441809152044)	(55, 39.23877499087817)	(60, 39.200248939948565)	(65, 39.17898160323202)	(70, 39.13618230961377)	(75, 39.099879198571706)	(80, 39.0442861901114)	(85, 38.977805421774995)	(90, 38.89323483318156)	(95, 38.809573276092735)	(100, 38.75431126084182)	(105, 38.70413224908417)	(110, 38.654565814335626)	(115, 38.580069409482554)	(120, 38.45686521929453)	(125, 38.27349386456767)	(130, 38.082889683675184)	(135, 37.915147701261944)	(140, 37.795138895177665)	(145, 37.731325536791154)	(150, 38.1063366415773)
S1S22_val_2	(1, 38.765452808948794)	(2, 39.17014281299377)	(3, 39.28744565966399)	(4, 39.34690681569383)	(5, 39.404586825491116)	(6, 39.450048762568336)	(7, 39.431233363565255)	(8, 39.48740166239987)	(9, 39.49303500478818)	(10, 39.519214075621264)	(15, 39.53299009038136)	(20, 39.527523469594556)	(25, 39.326186456101226)	(30, 39.26412914850833)	(35, 39.23879288043676)	(40, 39.20694789362618)	(45, 39.17172187611695)	(50, 39.13268771839761)	(55, 39.09457823673551)	(60, 39.05642288092709)	(65, 39.00580047952581)	(70, 38.977320646063326)	(75, 38.91616020257389)	(80, 38.86438983939574)	(85, 38.811850961843255)	(90, 38.7454310706619)	(95, 38.678312407070756)	(100, 38.60326291886838)	(105, 38.5364894879354)	(110, 38.47936300319619)	(115, 38.4008156256237)	(120, 38.35434489476995)	(125, 38.29361393261917)	(130, 38.24676555468345)	(135, 38.202384210969385)	(140, 38.175791304747314)	(145, 38.22961319634652)	(150, 38.800710314538705)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 38.66371286295066)	(2, 39.21329826755796)	(3, 39.24964850577262)	(4, 39.390932806324905)	(5, 39.428616794206356)	(6, 39.44179561132848)	(7, 39.458281454438286)	(8, 39.47326104398118)	(9, 39.48405445873996)	(10, 39.50031784995627)	(15, 39.5995377656818)	(20, 39.61733079165566)	(25, 39.430395908471965)	(30, 39.35195217414519)	(35, 39.33538360529745)	(40, 39.298012588777645)	(45, 39.27207705815334)	(50, 39.22386117623417)	(55, 39.10733647466742)	(60, 38.94559160873711)	(65, 38.80928191194427)	(70, 38.604753774724934)	(75, 38.265900276517144)	(80, 37.79102438766374)	(85, 37.22508803759583)	(90, 36.60895980448756)	(95, 35.98618454130642)	(100, 35.35969265054247)	(105, 34.74133785489898)	(110, 34.16657096807445)	(115, 33.692935324160565)	(120, 33.48694731508498)	(125, 33.59374069297882)	(130, 33.76998594423796)	(135, 33.84265045731064)	(140, 33.79434042953471)	(145, 33.68745016094855)	(150, 33.63023738920857)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 38.5760282890368)	(2, 39.05316335788759)	(3, 39.223275845056236)	(4, 39.312021588432344)	(5, 39.35382543426755)	(6, 39.397407612991806)	(7, 39.39109419063564)	(8, 39.45073856613195)	(9, 39.46400654032209)	(10, 39.48764376201554)	(15, 39.5067935582115)	(20, 39.50549747490154)	(25, 39.27378638948235)	(30, 39.2035944523467)	(35, 39.17676023851219)	(40, 39.12490871167736)	(45, 39.0512126413102)	(50, 38.9363025241568)	(55, 38.795659954141215)	(60, 38.63778943364525)	(65, 38.47027810894453)	(70, 38.318177012442824)	(75, 38.13547330331845)	(80, 37.96794911595758)	(85, 37.79854906388585)	(90, 37.62369670648782)	(95, 37.475028818269145)	(100, 37.366704383111724)	(105, 37.301737791467225)	(110, 37.262726685602026)	(115, 37.21753515167671)	(120, 37.22477969438761)	(125, 37.21736980037732)	(130, 37.22821029808213)	(135, 37.24923491715355)	(140, 37.26549590413432)	(145, 37.28919934248165)	(150, 37.30247757474343)
S1S23_val_1	(1, 38.66443072602961)	(2, 39.21449704350963)	(3, 39.2509484519565)	(4, 39.391994320891044)	(5, 39.430011903447884)	(6, 39.44311901409829)	(7, 39.46008289029194)	(8, 39.47501617831724)	(9, 39.48627773998745)	(10, 39.501687589681964)	(15, 39.601097623406716)	(20, 39.618928507057696)	(25, 39.438494844124286)	(30, 39.369745909417794)	(35, 39.35987398987189)	(40, 39.34314732544046)	(45, 39.31923042916161)	(50, 39.29483816555816)	(55, 39.27374603968491)	(60, 39.24029637780175)	(65, 39.22628267296353)	(70, 39.18962397959007)	(75, 39.16192879413383)	(80, 39.111631060860226)	(85, 39.05503372312678)	(90, 38.97596076049659)	(95, 38.90021859079779)	(100, 38.85578166617951)	(105, 38.81910213314937)	(110, 38.78025753094883)	(115, 38.71690418162653)	(120, 38.60725656313716)	(125, 38.435309467867214)	(130, 38.25736418238266)	(135, 38.096044333725374)	(140, 37.97877862234328)	(145, 37.90085834109847)	(150, 38.244338761306324)
S1S23_val_2	(1, 38.5739533229063)	(2, 39.052221408569956)	(3, 39.22277810209522)	(4, 39.31180414822749)	(5, 39.35363955132941)	(6, 39.39731424799731)	(7, 39.39119726004786)	(8, 39.45110596732212)	(9, 39.46453876308668)	(10, 39.48866196084635)	(15, 39.50847733734056)	(20, 39.51224864978231)	(25, 39.294155048151325)	(30, 39.23929868355946)	(35, 39.22241760295163)	(40, 39.20353892093971)	(45, 39.18056703378339)	(50, 39.15414251448949)	(55, 39.126212810952175)	(60, 39.098788855845214)	(65, 39.05676549340294)	(70, 39.036723141763744)	(75, 38.98134599097651)	(80, 38.93585415549662)	(85, 38.891301559510296)	(90, 38.832402985636655)	(95, 38.773144606402674)	(100, 38.70876711383981)	(105, 38.65068117702254)	(110, 38.60299697082316)	(115, 38.53300834897014)	(120, 38.49625539233993)	(125, 38.442248332963025)	(130, 38.40286539903283)	(135, 38.36411550226251)	(140, 38.33767429936188)	(145, 38.3824594042577)	(150, 38.92776080098247)
