Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
S1E13_val_2	(1.0, 76.72371605623057)	(2.0, 12.73072215810134)	(3.0, 2.84661371754379)	(4.0, 1.062454758339131)	(5.0, 0.6113679503076612)	(6.0, 0.447605718214604)	(7.0, 0.38250962133400973)	(8.0, 0.35336497509458076)	(9.0, 0.26429645829115467)	('>10', 2.891276344704775)	('>50', 0.6097410045588066)	('>100', 0.5150742284746189)	('>500', 0.03106026042284716)	('>1k', 0.09234763159197462)	('>5k', 0.0)	('>10k+', 0.4378491167902325)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	(1.0, 77.35407090904765)	(2.0, 13.017613012107693)	(3.0, 2.791293525536158)	(4.0, 1.0791371026221042)	(5.0, 0.6191221903384493)	(6.0, 0.40031954560854405)	(7.0, 0.3659839495217977)	(8.0, 0.26983454092491266)	(9.0, 0.24109781716270268)	('>10', 2.6156999220713995)	('>50', 0.5209755918310589)	('>100', 0.5666492185685917)	('>500', 0.06740839955521472)	('>1k', 0.05766452239803474)	('>5k', 0.03312975270564597)	('>10k+', 0.0)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	(1.0, 77.96961255759352)	(2.0, 12.680338200010565)	(3.0, 2.634583638108611)	(4.0, 1.0257803423933498)	(5.0, 0.5987116066103327)	(6.0, 0.40443923506422746)	(7.0, 0.3349834755862722)	(8.0, 0.2510779593461242)	(9.0, 0.24459854956160265)	('>10', 2.5095776971360655)	('>50', 0.48300590863964016)	('>100', 0.42643926103640456)	('>500', 0.03357435772207371)	('>1k', 0.0624922691251582)	('>5k', 0.0)	('>10k+', 0.34078494206594084)
S1S21_val_1	(1.0, 77.59014614339594)	(2.0, 13.078924772954196)	(3.0, 2.785617449831034)	(4.0, 1.0700446400199652)	(5.0, 0.6116362666815107)	(6.0, 0.38457738966016775)	(7.0, 0.35320922053369175)	(8.0, 0.27110750543390955)	(9.0, 0.2301836743712786)	('>10', 2.517760120778385)	('>50', 0.49530409503318545)	('>100', 0.5202694046868317)	('>500', 0.036734620534982276)	('>1k', 0.02098367925774055)	('>5k', 0.033501016827299744)	('>10k+', 0.0)
S1S21_val_2	(1.0, 78.08055307416517)	(2.0, 12.781429211285428)	(3.0, 2.6372333576503966)	(4.0, 1.0184572791966655)	(5.0, 0.5790837464164124)	(6.0, 0.3966931425118979)	(7.0, 0.32315125447640075)	(8.0, 0.2553075789687073)	(9.0, 0.24479361195385566)	('>10', 2.4405395108313765)	('>50', 0.4643271567493618)	('>100', 0.38407621126262265)	('>500', 0.022758637316778848)	('>1k', 0.0455304575839108)	('>5k', 0.0)	('>10k+', 0.32606576963127043)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	(1.0, 77.08633448304073)	(2.0, 13.107312996598697)	(3.0, 2.8788324759070947)	(4.0, 1.0098865343881145)	(5.0, 0.5670078888013614)	(6.0, 0.44173658793603915)	(7.0, 0.33798763942419263)	(8.0, 0.266052827394078)	(9.0, 0.2799473055068858)	('>10', 2.730338094854484)	('>50', 0.5193054091577181)	('>100', 0.5656865096978814)	('>500', 0.0699364873586959)	('>1k', 0.111063454144148)	('>5k', 0.028571305790105077)	('>10k+', 0.0)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	(1.0, 77.70382133634789)	(2.0, 12.765155810637955)	(3.0, 2.6767693500698306)	(4.0, 0.9994815928912094)	(5.0, 0.5726572329670887)	(6.0, 0.414577506122962)	(7.0, 0.3401952984502907)	(8.0, 0.29871580702985634)	(9.0, 0.26207168845165707)	('>10', 2.546486827513903)	('>50', 0.4558537585819894)	('>100', 0.4446413985970811)	('>500', 0.06941039201467106)	('>1k', 0.09317216722126391)	('>5k', 0.0)	('>10k+', 0.35698983310233007)
S1S22_val_1	(1.0, 77.45934186405279)	(2.0, 13.21120604481108)	(3.0, 2.8833666192146246)	(4.0, 0.9794361438977627)	(5.0, 0.548845475505115)	(6.0, 0.42232450480518313)	(7.0, 0.3173479152063625)	(8.0, 0.2634826499240738)	(9.0, 0.2743557344941433)	('>10', 2.593524053371515)	('>50', 0.4758781372330286)	('>100', 0.4769234045622171)	('>500', 0.0441986420723312)	('>1k', 0.020791823904260567)	('>5k', 0.02897698694540879)	('>10k+', 0.0)
S1S22_val_2	(1.0, 77.94556031160045)	(2.0, 12.904886434120602)	(3.0, 2.676535429979406)	(4.0, 0.9669255271348794)	(5.0, 0.5554581136280048)	(6.0, 0.40615971478893487)	(7.0, 0.3366935594949205)	(8.0, 0.28200988993708653)	(9.0, 0.2503385972948055)	('>10', 2.459628548592026)	('>50', 0.42805045036876427)	('>100', 0.3801558560305473)	('>500', 0.03570642301955336)	('>1k', 0.04128481290604813)	('>5k', 0.0)	('>10k+', 0.3306063311040566)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	(1.0, 76.38073515912205)	(2.0, 13.478673201350338)	(3.0, 3.0773976105247693)	(4.0, 1.1061656529780861)	(5.0, 0.6490836468285826)	(6.0, 0.4584536697386804)	(7.0, 0.3455611603367251)	(8.0, 0.3495678850881351)	(9.0, 0.26621111919362894)	('>10', 2.6705842233256)	('>50', 0.5563889488946168)	('>100', 0.546441683008969)	('>500', 0.05297543230319725)	('>1k', 0.02459271135192366)	('>5k', 0.03716789595477805)	('>10k+', 0.0)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	(1.0, 77.02178392800934)	(2.0, 13.038816970171633)	(3.0, 2.8675021016765108)	(4.0, 1.0500103477092344)	(5.0, 0.6185609822541726)	(6.0, 0.481781752603248)	(7.0, 0.3412107662282367)	(8.0, 0.28967945702614706)	(9.0, 0.26822132490417183)	('>10', 2.5567774246220742)	('>50', 0.48184822703404345)	('>100', 0.4211867059455711)	('>500', 0.023461090238719295)	('>1k', 0.05786675245324683)	('>5k', 0.0)	('>10k+', 0.4812921691235655)
S1S23_val_1	(1.0, 76.50050674215477)	(2.0, 13.52632651868605)	(3.0, 3.0637852183219834)	(4.0, 1.1036765435741938)	(5.0, 0.6433687481350563)	(6.0, 0.45566193793668813)	(7.0, 0.34372126673492315)	(8.0, 0.3457035757985825)	(9.0, 0.25924507631758487)	('>10', 2.6146830132378884)	('>50', 0.5491474051954016)	('>100', 0.5133196256945207)	('>500', 0.024959133689667935)	('>1k', 0.018510016678682562)	('>5k', 0.03738517784419801)	('>10k+', 0.0)
S1S23_val_2	(1.0, 77.08604754947753)	(2.0, 13.09855935080361)	(3.0, 2.8511956911378245)	(4.0, 1.0626080126803052)	(5.0, 0.6129252321615666)	(6.0, 0.47103413369523983)	(7.0, 0.33740121482843893)	(8.0, 0.2908810705645899)	(9.0, 0.2603011411360294)	('>10', 2.5388854483772074)	('>50', 0.4767085424762153)	('>100', 0.3931218909358803)	('>500', 0.01177062968137824)	('>1k', 0.05103889017184464)	('>5k', 0.0)	('>10k+', 0.4575212018724627)
