Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
S1E13_val_1	(16.0, 5.0)	(17.0, 102.0)	(18.0, 1245.0)	(19.0, 6271.0)	(20.0, 15044.0)	(21.0, 21940.0)	(22.0, 27549.0)	(23.0, 31715.0)	(24.0, 37072.0)	(25.0, 39619.0)	(26.0, 44367.0)	(27.0, 47360.0)	(28.0, 53992.0)	(29.0, 59074.0)	(30.0, 67705.0)	(31.0, 76882.0)	(32.0, 94601.0)	(33.0, 115317.0)	(34.0, 150896.0)	(35.0, 200526.0)	(36.0, 297036.0)	(37.0, 443987.0)	(38.0, 929865.0)	(39.0, 6147128.0)	(40.0, 9678020.0)				
S1E13_val_2	(13.0, 1.0)	(14.0, 12.0)	(15.0, 112.0)	(16.0, 766.0)	(17.0, 3247.0)	(18.0, 9746.0)	(19.0, 19219.0)	(20.0, 29507.0)	(21.0, 34544.0)	(22.0, 38392.0)	(23.0, 41219.0)	(24.0, 45223.0)	(25.0, 48032.0)	(26.0, 53056.0)	(27.0, 55962.0)	(28.0, 60953.0)	(29.0, 60489.0)	(30.0, 65088.0)	(31.0, 70124.0)	(32.0, 83728.0)	(33.0, 99351.0)	(34.0, 131215.0)	(35.0, 176395.0)	(36.0, 261783.0)	(37.0, 394903.0)	(38.0, 826832.0)	(39.0, 6271557.0)	(40.0, 9705862.0)	
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	(16.0, 12.0)	(17.0, 254.0)	(18.0, 2941.0)	(19.0, 12489.0)	(20.0, 27282.0)	(21.0, 38099.0)	(22.0, 50325.0)	(23.0, 59483.0)	(24.0, 69758.0)	(25.0, 76558.0)	(26.0, 89019.0)	(27.0, 101002.0)	(28.0, 124194.0)	(29.0, 152036.0)	(30.0, 215030.0)	(31.0, 359269.0)	(32.0, 569039.0)	(33.0, 906215.0)	(34.0, 1825281.0)	(35.0, 2043154.0)	(36.0, 1977883.0)	(37.0, 1664692.0)	(38.0, 2504532.0)	(39.0, 5459328.0)	(40.0, 4798888.0)				
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	(14.0, 13.0)	(15.0, 149.0)	(16.0, 1055.0)	(17.0, 4753.0)	(18.0, 15319.0)	(19.0, 29933.0)	(20.0, 42922.0)	(21.0, 50763.0)	(22.0, 60842.0)	(23.0, 67737.0)	(24.0, 78122.0)	(25.0, 86455.0)	(26.0, 101437.0)	(27.0, 113648.0)	(28.0, 130381.0)	(29.0, 136911.0)	(30.0, 156265.0)	(31.0, 178079.0)	(32.0, 218491.0)	(33.0, 267153.0)	(34.0, 365718.0)	(35.0, 480269.0)	(36.0, 828628.0)	(37.0, 1675237.0)	(38.0, 4988982.0)	(39.0, 9854959.0)	(40.0, 3192542.0)		
S1S21_val_1	(16.0, 3.0)	(17.0, 77.0)	(18.0, 937.0)	(19.0, 5255.0)	(20.0, 13798.0)	(21.0, 21594.0)	(22.0, 29749.0)	(23.0, 35850.0)	(24.0, 41196.0)	(25.0, 43528.0)	(26.0, 46716.0)	(27.0, 48764.0)	(28.0, 54640.0)	(29.0, 60385.0)	(30.0, 70659.0)	(31.0, 80302.0)	(32.0, 99154.0)	(33.0, 120616.0)	(34.0, 161606.0)	(35.0, 216994.0)	(36.0, 328070.0)	(37.0, 500440.0)	(38.0, 1081657.0)	(39.0, 6983191.0)	(40.0, 12817688.0)				
S1S21_val_2	(14.0, 13.0)	(15.0, 100.0)	(16.0, 717.0)	(17.0, 3037.0)	(18.0, 9226.0)	(19.0, 17632.0)	(20.0, 27398.0)	(21.0, 33901.0)	(22.0, 40663.0)	(23.0, 44033.0)	(24.0, 49587.0)	(25.0, 52540.0)	(26.0, 58751.0)	(27.0, 62309.0)	(28.0, 67780.0)	(29.0, 63970.0)	(30.0, 67252.0)	(31.0, 73343.0)	(32.0, 89214.0)	(33.0, 107235.0)	(34.0, 142810.0)	(35.0, 193011.0)	(36.0, 290785.0)	(37.0, 440147.0)	(38.0, 932019.0)	(39.0, 6832915.0)	(40.0, 13162481.0)		
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	(15.0, 2.0)	(16.0, 15.0)	(17.0, 412.0)	(18.0, 4324.0)	(19.0, 17967.0)	(20.0, 36684.0)	(21.0, 45005.0)	(22.0, 53188.0)	(23.0, 59818.0)	(24.0, 68812.0)	(25.0, 74729.0)	(26.0, 86984.0)	(27.0, 98463.0)	(28.0, 120212.0)	(29.0, 145145.0)	(30.0, 211013.0)	(31.0, 373156.0)	(32.0, 736003.0)	(33.0, 1686411.0)	(34.0, 2340194.0)	(35.0, 1434437.0)	(36.0, 1217525.0)	(37.0, 1063626.0)	(38.0, 1752529.0)	(39.0, 4655671.0)	(40.0, 4335942.0)			
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	(14.0, 12.0)	(15.0, 184.0)	(16.0, 1248.0)	(17.0, 5263.0)	(18.0, 17028.0)	(19.0, 34368.0)	(20.0, 49134.0)	(21.0, 54891.0)	(22.0, 62262.0)	(23.0, 66741.0)	(24.0, 75941.0)	(25.0, 83746.0)	(26.0, 97717.0)	(27.0, 108265.0)	(28.0, 124288.0)	(29.0, 129127.0)	(30.0, 148449.0)	(31.0, 168182.0)	(32.0, 205055.0)	(33.0, 248972.0)	(34.0, 340760.0)	(35.0, 445432.0)	(36.0, 765348.0)	(37.0, 1550007.0)	(38.0, 4491824.0)	(39.0, 8460422.0)	(40.0, 2883601.0)		
S1S22_val_1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 108.0)	(18.0, 1519.0)	(19.0, 8188.0)	(20.0, 20481.0)	(21.0, 27803.0)	(22.0, 32732.0)	(23.0, 36557.0)	(24.0, 41481.0)	(25.0, 43227.0)	(26.0, 46406.0)	(27.0, 48339.0)	(28.0, 54899.0)	(29.0, 59613.0)	(30.0, 69422.0)	(31.0, 78040.0)	(32.0, 96734.0)	(33.0, 117889.0)	(34.0, 155329.0)	(35.0, 205262.0)	(36.0, 306880.0)	(37.0, 457110.0)	(38.0, 950541.0)	(39.0, 5840507.0)	(40.0, 11624920.0)			
S1S22_val_2	(13.0, 2.0)	(14.0, 17.0)	(15.0, 155.0)	(16.0, 855.0)	(17.0, 3361.0)	(18.0, 9922.0)	(19.0, 20358.0)	(20.0, 31930.0)	(21.0, 38514.0)	(22.0, 42592.0)	(23.0, 44598.0)	(24.0, 48929.0)	(25.0, 51478.0)	(26.0, 56808.0)	(27.0, 60372.0)	(28.0, 65341.0)	(29.0, 61721.0)	(30.0, 65029.0)	(31.0, 71240.0)	(32.0, 85253.0)	(33.0, 101212.0)	(34.0, 133016.0)	(35.0, 179750.0)	(36.0, 267164.0)	(37.0, 399597.0)	(38.0, 826552.0)	(39.0, 5870791.0)	(40.0, 11787434.0)	
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	(16.0, 19.0)	(17.0, 339.0)	(18.0, 3799.0)	(19.0, 15681.0)	(20.0, 33027.0)	(21.0, 41944.0)	(22.0, 51241.0)	(23.0, 57586.0)	(24.0, 65360.0)	(25.0, 71326.0)	(26.0, 83165.0)	(27.0, 94545.0)	(28.0, 117859.0)	(29.0, 146998.0)	(30.0, 235707.0)	(31.0, 413254.0)	(32.0, 779769.0)	(33.0, 1462321.0)	(34.0, 1680239.0)	(35.0, 1193307.0)	(36.0, 1098637.0)	(37.0, 1269168.0)	(38.0, 1387808.0)	(39.0, 5678663.0)	(40.0, 3983004.0)				
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	(14.0, 16.0)	(15.0, 208.0)	(16.0, 1397.0)	(17.0, 5538.0)	(18.0, 16909.0)	(19.0, 31722.0)	(20.0, 44894.0)	(21.0, 50880.0)	(22.0, 57871.0)	(23.0, 61355.0)	(24.0, 69047.0)	(25.0, 74779.0)	(26.0, 86315.0)	(27.0, 95529.0)	(28.0, 108402.0)	(29.0, 113766.0)	(30.0, 130540.0)	(31.0, 147284.0)	(32.0, 178981.0)	(33.0, 216004.0)	(34.0, 292875.0)	(35.0, 384151.0)	(36.0, 651081.0)	(37.0, 1300293.0)	(38.0, 3863309.0)	(39.0, 8801992.0)	(40.0, 3179628.0)		
S1S23_val_1	(16.0, 3.0)	(17.0, 69.0)	(18.0, 1179.0)	(19.0, 6669.0)	(20.0, 17339.0)	(21.0, 24116.0)	(22.0, 30037.0)	(23.0, 33716.0)	(24.0, 37889.0)	(25.0, 39147.0)	(26.0, 42260.0)	(27.0, 44538.0)	(28.0, 51189.0)	(29.0, 56658.0)	(30.0, 66148.0)	(31.0, 75614.0)	(32.0, 93880.0)	(33.0, 115002.0)	(34.0, 151728.0)	(35.0, 203175.0)	(36.0, 305429.0)	(37.0, 463218.0)	(38.0, 1005148.0)	(39.0, 6899288.0)	(40.0, 10059389.0)				
S1S23_val_2	(12.0, 1.0)	(13.0, 2.0)	(14.0, 10.0)	(15.0, 129.0)	(16.0, 932.0)	(17.0, 3852.0)	(18.0, 10517.0)	(19.0, 20160.0)	(20.0, 30473.0)	(21.0, 36467.0)	(22.0, 41250.0)	(23.0, 42684.0)	(24.0, 46960.0)	(25.0, 49142.0)	(26.0, 53879.0)	(27.0, 57475.0)	(28.0, 61918.0)	(29.0, 59942.0)	(30.0, 64104.0)	(31.0, 69557.0)	(32.0, 83609.0)	(33.0, 100381.0)	(34.0, 132413.0)	(35.0, 176848.0)	(36.0, 265789.0)	(37.0, 402521.0)	(38.0, 860889.0)	(39.0, 6422575.0)	(40.0, 10728349.0)
