Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
S1E13_val_1	(0.0, 1820.0)	(1.0, 1769.5)	(2.0, 1751.5)	(3.0, 1808.5)	(4.0, 1868.0)	(5.0, 1960.0)	(6.0, 2079.0)	(7.0, 2263.5)	(8.0, 2483.0)	(9.0, 2737.5)	(10.0, 3103.0)	(11.0, 3580.5)	(12.0, 4190.0)	(13.0, 5007.5)	(14.0, 6104.0)	(15.0, 7437.5)	(16.0, 9296.0)	(17.0, 11830.0)	(18.0, 15320.0)	(19.0, 20284.5)	(20.0, 26301.5)	(21.0, 33866.0)	(22.0, 43526.5)	(23.0, 55214.5)	(24.0, 69181.5)	(25.0, 85202.0)	(26.0, 103753.0)	(27.0, 124264.5)	(28.0, 146623.5)	(29.0, 170254.0)	(30.0, 194040.0)	(31.0, 219131.5)	(32.0, 248128.0)	(33.0, 280465.5)	(34.0, 316767.5)	(35.0, 359063.0)	(36.0, 406600.0)	(37.0, 456042.5)	(38.0, 503115.5)	(39.0, 542202.0)	(40.0, 568576.5)	(41.0, 580399.5)	(42.0, 583301.0)	(43.0, 579936.0)	(44.0, 570249.0)	(45.0, 561366.0)	(46.0, 554681.0)	(47.0, 557042.0)	(48.0, 571997.0)	(49.0, 590610.0)	(50.0, 609700.5)	(51.0, 621191.0)	(52.0, 623511.5)	(53.0, 624805.0)	(54.0, 623446.0)	(55.0, 624525.5)	(56.0, 631824.5)	(57.0, 642897.0)	(58.0, 652942.5)	(59.0, 654566.5)	(60.0, 643658.0)	(61.0, 620453.0)	(62.0, 588127.5)	(63.0, 549651.0)	(64.0, 509467.5)	(65.0, 468753.5)	(66.0, 426733.5)	(67.0, 388073.5)	(68.0, 351543.0)	(69.0, 315310.0)	(70.0, 280806.0)	(71.0, 248798.5)	(72.0, 219252.5)	(73.0, 192191.0)	(74.0, 168962.0)	(75.0, 148090.5)	(76.0, 128961.5)	(77.0, 112254.5)	(78.0, 98536.0)	(79.0, 87264.5)	(80.0, 77303.5)	(81.0, 68791.5)	(82.0, 62008.5)	(83.0, 55147.5)	(84.0, 47737.5)	(85.0, 40335.5)	(86.0, 33641.0)	(87.0, 28091.5)	(88.0, 22687.0)	(89.0, 17882.0)	(90.0, 14474.0)	(91.0, 11728.5)	(92.0, 9754.5)	(93.0, 7667.5)	(94.0, 5515.5)	(95.0, 4011.0)	(96.0, 3022.5)	(97.0, 2659.5)	(98.0, 2019.0)	(99.0, 1170.5)	(100.0, 840.5)
S1E13_val_2	(0.0, 1757.0)	(1.0, 1672.0)	(2.0, 1564.0)	(3.0, 1600.5)	(4.0, 1715.0)	(5.0, 1826.0)	(6.0, 1973.0)	(7.0, 2184.0)	(8.0, 2428.5)	(9.0, 2723.0)	(10.0, 3066.0)	(11.0, 3529.0)	(12.0, 4081.0)	(13.0, 4835.5)	(14.0, 5881.0)	(15.0, 7234.5)	(16.0, 9088.5)	(17.0, 11648.0)	(18.0, 15178.5)	(19.0, 20112.0)	(20.0, 26437.5)	(21.0, 34374.0)	(22.0, 44469.0)	(23.0, 56903.5)	(24.0, 71604.5)	(25.0, 89062.5)	(26.0, 108556.0)	(27.0, 129595.0)	(28.0, 153552.0)	(29.0, 178664.5)	(30.0, 204202.0)	(31.0, 231588.0)	(32.0, 262242.0)	(33.0, 296556.5)	(34.0, 334853.5)	(35.0, 377539.5)	(36.0, 425132.5)	(37.0, 472644.5)	(38.0, 517561.0)	(39.0, 557386.0)	(40.0, 582697.0)	(41.0, 589278.5)	(42.0, 586463.0)	(43.0, 581588.0)	(44.0, 571315.5)	(45.0, 563880.5)	(46.0, 563174.0)	(47.0, 571577.0)	(48.0, 591158.5)	(49.0, 612488.5)	(50.0, 631464.5)	(51.0, 639021.5)	(52.0, 635436.5)	(53.0, 628537.5)	(54.0, 619881.5)	(55.0, 615434.5)	(56.0, 617584.5)	(57.0, 623525.5)	(58.0, 627715.5)	(59.0, 624118.5)	(60.0, 610416.5)	(61.0, 587282.5)	(62.0, 556583.0)	(63.0, 521576.0)	(64.0, 485107.5)	(65.0, 447356.0)	(66.0, 406967.0)	(67.0, 369181.5)	(68.0, 334110.0)	(69.0, 299459.0)	(70.0, 266542.0)	(71.0, 235831.5)	(72.0, 207772.5)	(73.0, 182673.5)	(74.0, 161487.0)	(75.0, 142831.0)	(76.0, 125456.5)	(77.0, 110014.5)	(78.0, 97148.0)	(79.0, 86318.0)	(80.0, 76711.0)	(81.0, 68542.5)	(82.0, 61914.0)	(83.0, 55236.0)	(84.0, 48013.0)	(85.0, 40766.0)	(86.0, 34162.0)	(87.0, 28662.5)	(88.0, 23421.0)	(89.0, 18824.5)	(90.0, 15515.5)	(91.0, 12877.0)	(92.0, 11056.0)	(93.0, 9193.0)	(94.0, 7343.5)	(95.0, 6117.0)	(96.0, 5362.0)	(97.0, 5267.5)	(98.0, 5212.5)	(99.0, 6813.5)	(100.0, 30442.0)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	(0.0, 42.0)	(1.0, 39.5)	(2.0, 31.0)	(3.0, 23.0)	(4.0, 35.0)	(5.0, 47.0)	(6.0, 49.0)	(7.0, 68.5)	(8.0, 105.5)	(9.0, 157.0)	(10.0, 195.0)	(11.0, 252.5)	(12.0, 380.0)	(13.0, 568.5)	(14.0, 819.0)	(15.0, 1243.0)	(16.0, 1943.5)	(17.0, 2975.5)	(18.0, 4739.0)	(19.0, 7349.0)	(20.0, 11003.0)	(21.0, 16127.0)	(22.0, 22886.5)	(23.0, 31888.0)	(24.0, 42937.5)	(25.0, 56415.0)	(26.0, 72769.0)	(27.0, 91176.0)	(28.0, 111759.0)	(29.0, 134038.5)	(30.0, 158944.0)	(31.0, 186156.0)	(32.0, 215333.0)	(33.0, 248305.0)	(34.0, 285112.0)	(35.0, 326844.5)	(36.0, 373125.0)	(37.0, 422328.5)	(38.0, 471646.5)	(39.0, 517929.5)	(40.0, 558637.0)	(41.0, 587972.0)	(42.0, 611988.5)	(43.0, 631665.0)	(44.0, 642419.0)	(45.0, 648990.0)	(46.0, 655349.5)	(47.0, 669608.0)	(48.0, 691240.5)	(49.0, 714624.0)	(50.0, 738529.5)	(51.0, 755138.0)	(52.0, 763904.5)	(53.0, 770775.5)	(54.0, 778290.0)	(55.0, 790180.0)	(56.0, 805499.5)	(57.0, 815461.0)	(58.0, 811671.5)	(59.0, 787002.5)	(60.0, 738916.5)	(61.0, 673009.5)	(62.0, 597274.5)	(63.0, 520197.0)	(64.0, 448106.5)	(65.0, 383463.0)	(66.0, 327231.0)	(67.0, 278905.5)	(68.0, 236639.0)	(69.0, 200334.0)	(70.0, 166598.0)	(71.0, 134916.0)	(72.0, 106386.0)	(73.0, 81018.0)	(74.0, 59402.5)	(75.0, 41664.5)	(76.0, 27863.5)	(77.0, 18099.0)	(78.0, 12083.0)	(79.0, 8095.0)	(80.0, 5308.5)	(81.0, 3542.0)	(82.0, 2483.5)	(83.0, 1885.0)	(84.0, 1434.0)	(85.0, 1069.0)	(86.0, 791.5)	(87.0, 592.0)	(88.0, 440.0)	(89.0, 309.0)	(90.0, 203.5)	(91.0, 149.5)	(92.0, 117.5)	(93.0, 80.0)	(94.0, 70.5)	(95.0, 67.0)	(96.0, 75.0)	(97.0, 141.0)	(98.0, 422.5)	(99.0, 477.5)	(100.0, 171.5)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	(0.0, 84.0)	(1.0, 70.0)	(2.0, 62.5)	(3.0, 56.5)	(4.0, 50.0)	(5.0, 75.5)	(6.0, 96.0)	(7.0, 119.0)	(8.0, 150.0)	(9.0, 183.0)	(10.0, 249.5)	(11.0, 343.5)	(12.0, 462.0)	(13.0, 644.5)	(14.0, 955.5)	(15.0, 1435.0)	(16.0, 2226.0)	(17.0, 3449.5)	(18.0, 5369.0)	(19.0, 8204.5)	(20.0, 12142.0)	(21.0, 17743.5)	(22.0, 25129.5)	(23.0, 34746.0)	(24.0, 46979.0)	(25.0, 61997.5)	(26.0, 79704.0)	(27.0, 99216.5)	(28.0, 120842.5)	(29.0, 144400.5)	(30.0, 170209.5)	(31.0, 198315.5)	(32.0, 229260.5)	(33.0, 264459.0)	(34.0, 302273.0)	(35.0, 343745.0)	(36.0, 390845.0)	(37.0, 439330.5)	(38.0, 485101.5)	(39.0, 529094.0)	(40.0, 570041.0)	(41.0, 602807.5)	(42.0, 631249.5)	(43.0, 659236.0)	(44.0, 681413.0)	(45.0, 699254.0)	(46.0, 717747.5)	(47.0, 738758.5)	(48.0, 762124.5)	(49.0, 782433.0)	(50.0, 796947.0)	(51.0, 802823.0)	(52.0, 800824.0)	(53.0, 798607.0)	(54.0, 797268.0)	(55.0, 796571.0)	(56.0, 794901.5)	(57.0, 782628.5)	(58.0, 753742.5)	(59.0, 706161.0)	(60.0, 643155.0)	(61.0, 574413.0)	(62.0, 506127.0)	(63.0, 441442.0)	(64.0, 382511.5)	(65.0, 328965.0)	(66.0, 279705.0)	(67.0, 236068.0)	(68.0, 199107.5)	(69.0, 168263.5)	(70.0, 140769.5)	(71.0, 115252.5)	(72.0, 91975.0)	(73.0, 70965.0)	(74.0, 52898.5)	(75.0, 38581.5)	(76.0, 26875.0)	(77.0, 17959.5)	(78.0, 12192.5)	(79.0, 8219.5)	(80.0, 5469.5)	(81.0, 3711.0)	(82.0, 2757.5)	(83.0, 2151.5)	(84.0, 1729.0)	(85.0, 1438.0)	(86.0, 1264.5)	(87.0, 1163.5)	(88.0, 1058.5)	(89.0, 1066.5)	(90.0, 1117.5)	(91.0, 1203.5)	(92.0, 1355.5)	(93.0, 1440.0)	(94.0, 1571.5)	(95.0, 1694.0)	(96.0, 1893.0)	(97.0, 2253.0)	(98.0, 2736.0)	(99.0, 4379.0)	(100.0, 28705.0)
S1S21_val_1	(0.0, 4142.0)	(1.0, 3845.5)	(2.0, 3356.5)	(3.0, 2972.0)	(4.0, 2841.0)	(5.0, 3061.0)	(6.0, 3406.0)	(7.0, 3821.0)	(8.0, 4369.5)	(9.0, 5018.5)	(10.0, 5750.5)	(11.0, 6676.0)	(12.0, 7803.5)	(13.0, 9366.0)	(14.0, 11466.5)	(15.0, 14120.5)	(16.0, 17824.5)	(17.0, 22776.0)	(18.0, 29510.0)	(19.0, 38322.0)	(20.0, 49163.0)	(21.0, 62715.5)	(22.0, 79169.5)	(23.0, 99512.0)	(24.0, 123203.0)	(25.0, 149159.5)	(26.0, 179249.5)	(27.0, 212096.0)	(28.0, 247045.0)	(29.0, 283650.5)	(30.0, 321550.5)	(31.0, 361230.5)	(32.0, 402374.5)	(33.0, 445191.0)	(34.0, 493772.0)	(35.0, 548447.0)	(36.0, 605600.5)	(37.0, 661282.0)	(38.0, 712312.0)	(39.0, 754975.5)	(40.0, 782959.5)	(41.0, 792508.0)	(42.0, 793323.0)	(43.0, 791209.0)	(44.0, 780711.5)	(45.0, 768947.0)	(46.0, 760496.5)	(47.0, 759798.5)	(48.0, 770450.5)	(49.0, 782246.0)	(50.0, 795663.0)	(51.0, 802262.0)	(52.0, 800496.0)	(53.0, 798952.0)	(54.0, 799085.0)	(55.0, 804800.5)	(56.0, 815176.5)	(57.0, 828803.5)	(58.0, 839265.0)	(59.0, 838170.0)	(60.0, 821910.0)	(61.0, 791259.0)	(62.0, 750622.0)	(63.0, 703529.5)	(64.0, 651187.0)	(65.0, 597716.0)	(66.0, 543470.0)	(67.0, 492495.0)	(68.0, 445232.5)	(69.0, 400495.0)	(70.0, 358580.0)	(71.0, 319296.5)	(72.0, 282188.5)	(73.0, 248773.0)	(74.0, 220159.5)	(75.0, 195110.5)	(76.0, 173391.5)	(77.0, 154417.5)	(78.0, 138539.5)	(79.0, 124929.0)	(80.0, 111422.0)	(81.0, 100129.5)	(82.0, 91819.5)	(83.0, 82559.0)	(84.0, 72336.0)	(85.0, 62294.0)	(86.0, 52911.5)	(87.0, 45175.5)	(88.0, 37190.0)	(89.0, 29563.0)	(90.0, 24199.0)	(91.0, 20096.0)	(92.0, 16842.0)	(93.0, 13023.0)	(94.0, 9259.5)	(95.0, 6906.0)	(96.0, 5467.0)	(97.0, 4916.5)	(98.0, 3549.0)	(99.0, 1910.5)	(100.0, 1446.0)
S1S21_val_2	(0.0, 3803.0)	(1.0, 3602.0)	(2.0, 3176.5)	(3.0, 2744.5)	(4.0, 2608.0)	(5.0, 2870.5)	(6.0, 3261.5)	(7.0, 3682.5)	(8.0, 4172.5)	(9.0, 4754.0)	(10.0, 5478.0)	(11.0, 6398.0)	(12.0, 7521.0)	(13.0, 9024.0)	(14.0, 11065.5)	(15.0, 13673.5)	(16.0, 17281.0)	(17.0, 22172.5)	(18.0, 28818.0)	(19.0, 37734.0)	(20.0, 48815.0)	(21.0, 62699.5)	(22.0, 79658.0)	(23.0, 100624.5)	(24.0, 125620.5)	(25.0, 153511.5)	(26.0, 185282.5)	(27.0, 219203.5)	(28.0, 255649.5)	(29.0, 293878.0)	(30.0, 332621.5)	(31.0, 373322.0)	(32.0, 416652.0)	(33.0, 462134.5)	(34.0, 512255.0)	(35.0, 567726.5)	(36.0, 626274.0)	(37.0, 681995.0)	(38.0, 729558.0)	(39.0, 768975.0)	(40.0, 794349.5)	(41.0, 800320.5)	(42.0, 796168.5)	(43.0, 790520.5)	(44.0, 780348.0)	(45.0, 770610.5)	(46.0, 766317.5)	(47.0, 770067.5)	(48.0, 784839.0)	(49.0, 799609.5)	(50.0, 811465.0)	(51.0, 814117.5)	(52.0, 806192.0)	(53.0, 798532.0)	(54.0, 793286.5)	(55.0, 793109.0)	(56.0, 799424.0)	(57.0, 809007.5)	(58.0, 814440.0)	(59.0, 808818.5)	(60.0, 789913.0)	(61.0, 759970.0)	(62.0, 721655.5)	(63.0, 677455.5)	(64.0, 628893.0)	(65.0, 578546.0)	(66.0, 525810.0)	(67.0, 475623.0)	(68.0, 429957.0)	(69.0, 386165.0)	(70.0, 345649.0)	(71.0, 308307.5)	(72.0, 272987.5)	(73.0, 241446.5)	(74.0, 214383.0)	(75.0, 191202.5)	(76.0, 171101.5)	(77.0, 153067.0)	(78.0, 137650.0)	(79.0, 124253.5)	(80.0, 111104.0)	(81.0, 100123.5)	(82.0, 92025.5)	(83.0, 82828.5)	(84.0, 72652.5)	(85.0, 62678.5)	(86.0, 53388.0)	(87.0, 45719.5)	(88.0, 37766.0)	(89.0, 30317.0)	(90.0, 25099.0)	(91.0, 21084.5)	(92.0, 18018.0)	(93.0, 14376.5)	(94.0, 10807.5)	(95.0, 8609.0)	(96.0, 7387.0)	(97.0, 7132.5)	(98.0, 6195.0)	(99.0, 6874.5)	(100.0, 29623.5)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	(0.0, 101.0)	(1.0, 76.0)	(2.0, 35.5)	(3.0, 24.5)	(4.0, 39.0)	(5.0, 42.0)	(6.0, 45.5)	(7.0, 74.0)	(8.0, 110.5)	(9.0, 139.0)	(10.0, 164.0)	(11.0, 233.0)	(12.0, 351.0)	(13.0, 498.0)	(14.0, 768.0)	(15.0, 1195.0)	(16.0, 1817.0)	(17.0, 2777.5)	(18.0, 4285.0)	(19.0, 6813.5)	(20.0, 10147.0)	(21.0, 14744.5)	(22.0, 21190.5)	(23.0, 29311.0)	(24.0, 39485.5)	(25.0, 52110.5)	(26.0, 66935.0)	(27.0, 83319.5)	(28.0, 101766.5)	(29.0, 121864.0)	(30.0, 143796.0)	(31.0, 167653.5)	(32.0, 194404.0)	(33.0, 224435.5)	(34.0, 257126.0)	(35.0, 294073.0)	(36.0, 336797.5)	(37.0, 381290.5)	(38.0, 425193.5)	(39.0, 466985.0)	(40.0, 505429.5)	(41.0, 536128.5)	(42.0, 562073.5)	(43.0, 584320.5)	(44.0, 599098.0)	(45.0, 611407.5)	(46.0, 622506.0)	(47.0, 638114.5)	(48.0, 659512.0)	(49.0, 682538.0)	(50.0, 702852.0)	(51.0, 714691.5)	(52.0, 717629.0)	(53.0, 716539.0)	(54.0, 714019.5)	(55.0, 712736.0)	(56.0, 711697.0)	(57.0, 703249.0)	(58.0, 680164.0)	(59.0, 639548.5)	(60.0, 583774.5)	(61.0, 519101.0)	(62.0, 454217.5)	(63.0, 395481.0)	(64.0, 344608.0)	(65.0, 301606.5)	(66.0, 265840.5)	(67.0, 234120.5)	(68.0, 204305.5)	(69.0, 176300.0)	(70.0, 149699.5)	(71.0, 125483.5)	(72.0, 103561.5)	(73.0, 82748.5)	(74.0, 63575.5)	(75.0, 46859.0)	(76.0, 32505.0)	(77.0, 21664.0)	(78.0, 14593.0)	(79.0, 9726.5)	(80.0, 6355.5)	(81.0, 4182.5)	(82.0, 2876.5)	(83.0, 2018.0)	(84.0, 1466.5)	(85.0, 1091.5)	(86.0, 773.5)	(87.0, 572.5)	(88.0, 412.0)	(89.0, 292.5)	(90.0, 205.0)	(91.0, 134.5)	(92.0, 103.0)	(93.0, 77.0)	(94.0, 60.5)	(95.0, 67.0)	(96.0, 85.5)	(97.0, 165.0)	(98.0, 441.0)	(99.0, 486.5)	(100.0, 186.0)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	(0.0, 94.0)	(1.0, 73.5)	(2.0, 53.0)	(3.0, 58.0)	(4.0, 70.0)	(5.0, 77.5)	(6.0, 84.0)	(7.0, 108.5)	(8.0, 142.0)	(9.0, 185.0)	(10.0, 247.0)	(11.0, 317.5)	(12.0, 452.5)	(13.0, 639.0)	(14.0, 893.0)	(15.0, 1302.5)	(16.0, 2021.5)	(17.0, 3180.0)	(18.0, 4860.5)	(19.0, 7416.5)	(20.0, 11278.0)	(21.0, 16291.5)	(22.0, 22868.0)	(23.0, 31889.5)	(24.0, 43040.5)	(25.0, 56199.5)	(26.0, 71709.5)	(27.0, 89537.5)	(28.0, 109206.0)	(29.0, 130547.5)	(30.0, 154093.0)	(31.0, 179399.5)	(32.0, 206839.5)	(33.0, 237519.0)	(34.0, 270969.0)	(35.0, 308160.0)	(36.0, 349119.5)	(37.0, 390185.0)	(38.0, 431201.5)	(39.0, 471000.5)	(40.0, 506766.0)	(41.0, 536047.0)	(42.0, 562944.5)	(43.0, 589098.0)	(44.0, 608342.0)	(45.0, 623563.5)	(46.0, 638748.5)	(47.0, 655519.0)	(48.0, 672601.0)	(49.0, 688139.0)	(50.0, 700521.5)	(51.0, 704064.0)	(52.0, 702955.0)	(53.0, 700285.5)	(54.0, 694576.5)	(55.0, 692143.5)	(56.0, 688487.0)	(57.0, 676785.0)	(58.0, 654112.5)	(59.0, 616024.0)	(60.0, 565935.0)	(61.0, 509966.0)	(62.0, 453724.0)	(63.0, 400324.5)	(64.0, 350168.5)	(65.0, 302728.5)	(66.0, 259790.5)	(67.0, 221773.0)	(68.0, 188407.0)	(69.0, 161367.0)	(70.0, 137428.0)	(71.0, 115030.0)	(72.0, 93768.5)	(73.0, 74306.0)	(74.0, 57245.0)	(75.0, 42637.0)	(76.0, 30618.5)	(77.0, 20949.0)	(78.0, 14283.5)	(79.0, 9789.0)	(80.0, 6539.0)	(81.0, 4318.5)	(82.0, 3079.0)	(83.0, 2269.0)	(84.0, 1746.0)	(85.0, 1433.5)	(86.0, 1205.5)	(87.0, 1070.0)	(88.0, 1043.5)	(89.0, 1030.0)	(90.0, 1081.5)	(91.0, 1134.5)	(92.0, 1196.5)	(93.0, 1317.0)	(94.0, 1486.5)	(95.0, 1645.0)	(96.0, 1811.0)	(97.0, 2123.0)	(98.0, 2609.5)	(99.0, 4236.5)	(100.0, 26717.5)
S1S22_val_1	(0.0, 6492.0)	(1.0, 6029.5)	(2.0, 4722.0)	(3.0, 3365.5)	(4.0, 2912.5)	(5.0, 3074.0)	(6.0, 3355.5)	(7.0, 3812.5)	(8.0, 4406.0)	(9.0, 5018.5)	(10.0, 5680.0)	(11.0, 6550.5)	(12.0, 7649.5)	(13.0, 9141.5)	(14.0, 11176.0)	(15.0, 13839.0)	(16.0, 17433.0)	(17.0, 22005.5)	(18.0, 28207.0)	(19.0, 36678.5)	(20.0, 46670.5)	(21.0, 59377.5)	(22.0, 75467.0)	(23.0, 94762.0)	(24.0, 117392.0)	(25.0, 141930.0)	(26.0, 169364.5)	(27.0, 198780.5)	(28.0, 230424.0)	(29.0, 263338.0)	(30.0, 296670.0)	(31.0, 331852.0)	(32.0, 369274.5)	(33.0, 408196.0)	(34.0, 450683.5)	(35.0, 497163.5)	(36.0, 547181.0)	(37.0, 595121.5)	(38.0, 637775.0)	(39.0, 673301.0)	(40.0, 697006.0)	(41.0, 706058.0)	(42.0, 706783.5)	(43.0, 703156.5)	(44.0, 691745.5)	(45.0, 680109.0)	(46.0, 669335.0)	(47.0, 665870.0)	(48.0, 673774.5)	(49.0, 683123.5)	(50.0, 693538.5)	(51.0, 699037.5)	(52.0, 697831.5)	(53.0, 696177.5)	(54.0, 695533.5)	(55.0, 698213.5)	(56.0, 705492.5)	(57.0, 716217.0)	(58.0, 724242.5)	(59.0, 723832.0)	(60.0, 711935.5)	(61.0, 687190.5)	(62.0, 653535.0)	(63.0, 614914.0)	(64.0, 571359.5)	(65.0, 526580.5)	(66.0, 481563.5)	(67.0, 439137.5)	(68.0, 398789.5)	(69.0, 360221.5)	(70.0, 324100.5)	(71.0, 290278.5)	(72.0, 259537.5)	(73.0, 231250.5)	(74.0, 206305.0)	(75.0, 184152.5)	(76.0, 163107.5)	(77.0, 144971.5)	(78.0, 130955.0)	(79.0, 118674.0)	(80.0, 106430.0)	(81.0, 96226.5)	(82.0, 88590.5)	(83.0, 79905.5)	(84.0, 70219.5)	(85.0, 60728.5)	(86.0, 51845.5)	(87.0, 44401.5)	(88.0, 36679.0)	(89.0, 29444.5)	(90.0, 24215.0)	(91.0, 20081.5)	(92.0, 16968.0)	(93.0, 13212.5)	(94.0, 9417.5)	(95.0, 7013.5)	(96.0, 5485.0)	(97.0, 4946.5)	(98.0, 3624.5)	(99.0, 1996.0)	(100.0, 1508.0)
S1S22_val_2	(0.0, 5754.0)	(1.0, 5448.5)	(2.0, 4323.5)	(3.0, 3010.0)	(4.0, 2577.0)	(5.0, 2803.0)	(6.0, 3189.5)	(7.0, 3698.0)	(8.0, 4234.5)	(9.0, 4771.0)	(10.0, 5454.0)	(11.0, 6341.0)	(12.0, 7423.5)	(13.0, 8884.5)	(14.0, 10834.5)	(15.0, 13383.0)	(16.0, 16926.0)	(17.0, 21522.5)	(18.0, 27776.0)	(19.0, 36231.0)	(20.0, 46661.5)	(21.0, 59582.0)	(22.0, 75662.5)	(23.0, 95821.5)	(24.0, 119475.5)	(25.0, 144630.0)	(26.0, 173106.0)	(27.0, 204279.5)	(28.0, 237346.0)	(29.0, 271802.0)	(30.0, 307124.0)	(31.0, 344182.5)	(32.0, 382604.5)	(33.0, 422487.0)	(34.0, 466184.5)	(35.0, 514190.0)	(36.0, 564373.5)	(37.0, 610785.5)	(38.0, 652414.5)	(39.0, 687140.0)	(40.0, 707905.5)	(41.0, 712130.5)	(42.0, 708961.0)	(43.0, 703507.0)	(44.0, 691970.5)	(45.0, 681794.0)	(46.0, 675649.5)	(47.0, 677796.5)	(48.0, 689844.5)	(49.0, 701437.0)	(50.0, 711376.0)	(51.0, 712743.0)	(52.0, 706860.5)	(53.0, 699777.0)	(54.0, 692078.0)	(55.0, 691077.5)	(56.0, 694704.5)	(57.0, 700394.5)	(58.0, 704545.5)	(59.0, 699876.0)	(60.0, 684426.0)	(61.0, 658587.0)	(62.0, 625903.0)	(63.0, 590124.0)	(64.0, 549899.0)	(65.0, 506784.5)	(66.0, 462689.5)	(67.0, 421190.5)	(68.0, 382140.0)	(69.0, 345677.0)	(70.0, 311181.0)	(71.0, 278402.0)	(72.0, 248542.5)	(73.0, 221942.0)	(74.0, 199165.5)	(75.0, 178830.0)	(76.0, 159888.5)	(77.0, 142968.0)	(78.0, 129507.0)	(79.0, 117878.0)	(80.0, 106013.0)	(81.0, 95970.5)	(82.0, 88467.0)	(83.0, 79902.5)	(84.0, 70313.0)	(85.0, 60936.0)	(86.0, 52223.5)	(87.0, 44923.0)	(88.0, 37293.0)	(89.0, 30098.5)	(90.0, 25001.5)	(91.0, 20986.0)	(92.0, 17975.5)	(93.0, 14413.5)	(94.0, 10849.0)	(95.0, 8633.0)	(96.0, 7269.5)	(97.0, 6942.0)	(98.0, 6052.5)	(99.0, 6615.5)	(100.0, 26471.5)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	(0.0, 109.0)	(1.0, 80.0)	(2.0, 39.0)	(3.0, 26.5)	(4.0, 27.0)	(5.0, 31.5)	(6.0, 47.5)	(7.0, 77.5)	(8.0, 103.5)	(9.0, 151.0)	(10.0, 199.5)	(11.0, 258.5)	(12.0, 358.0)	(13.0, 516.0)	(14.0, 772.0)	(15.0, 1193.5)	(16.0, 1867.5)	(17.0, 2880.0)	(18.0, 4471.0)	(19.0, 6895.0)	(20.0, 10325.0)	(21.0, 14997.5)	(22.0, 21453.5)	(23.0, 29847.0)	(24.0, 39969.0)	(25.0, 52608.5)	(26.0, 67567.5)	(27.0, 83967.0)	(28.0, 102153.5)	(29.0, 122703.0)	(30.0, 144735.5)	(31.0, 168290.0)	(32.0, 193801.0)	(33.0, 223076.0)	(34.0, 255587.0)	(35.0, 292317.5)	(36.0, 334227.0)	(37.0, 378129.5)	(38.0, 422202.0)	(39.0, 463390.5)	(40.0, 499520.0)	(41.0, 525449.5)	(42.0, 544745.5)	(43.0, 559248.5)	(44.0, 564880.5)	(45.0, 566776.5)	(46.0, 570320.0)	(47.0, 580872.5)	(48.0, 600328.5)	(49.0, 623177.5)	(50.0, 645278.0)	(51.0, 660158.0)	(52.0, 666802.0)	(53.0, 671677.5)	(54.0, 673545.0)	(55.0, 676491.0)	(56.0, 682588.5)	(57.0, 684165.0)	(58.0, 673317.5)	(59.0, 643684.0)	(60.0, 595699.5)	(61.0, 535221.5)	(62.0, 470287.5)	(63.0, 408029.5)	(64.0, 353312.0)	(65.0, 307252.5)	(66.0, 267618.5)	(67.0, 232832.0)	(68.0, 201647.5)	(69.0, 173007.0)	(70.0, 146141.0)	(71.0, 121636.0)	(72.0, 99510.0)	(73.0, 79949.5)	(74.0, 62762.5)	(75.0, 47326.0)	(76.0, 34141.5)	(77.0, 23693.0)	(78.0, 16093.0)	(79.0, 10702.0)	(80.0, 7096.0)	(81.0, 4705.0)	(82.0, 3221.5)	(83.0, 2180.5)	(84.0, 1470.5)	(85.0, 1069.0)	(86.0, 760.0)	(87.0, 553.0)	(88.0, 420.5)	(89.0, 296.5)	(90.0, 203.5)	(91.0, 146.0)	(92.0, 117.5)	(93.0, 100.0)	(94.0, 76.0)	(95.0, 62.0)	(96.0, 66.5)	(97.0, 104.5)	(98.0, 309.0)	(99.0, 354.0)	(100.0, 143.0)
