Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1 - illumina_universal_adapter	(1, 0.011670293128236134)	(2, 0.01872615491003936)	(3, 0.03415446137858373)	(4, 0.05244601610641058)	(5, 0.06334297655747444)	(6, 0.0748790549235567)	(7, 0.09975352417607315)	(8, 0.14483690190147167)	(9, 0.2126025744308735)	(10, 0.3270110723983187)	(12, 0.46958869247020035)	(14, 0.591682583365742)	(16, 0.6860355611599095)	(18, 0.7775093127469193)	(20, 0.8985167031869296)	(22, 1.1277970596102085)	(24, 1.4445886365473828)	(26, 1.8414169499823125)	(28, 2.401702865772775)	(30, 3.1185023677720958)	(32, 3.983308796531379)	(34, 4.896851161900392)	(36, 5.855834811027213)	(38, 6.908289455225477)	(40, 8.019085978296195)	(42, 9.159697352102523)	(44, 10.323502315044868)	(46, 11.512143400164828)	(48, 12.719114387087517)	(50, 13.927897273299283)	(52, 15.145487204380004)	(54, 16.363284848783103)	(56, 17.57895742611877)	(58, 18.789286977684878)	(60, 20.001460384435816)	(62, 21.217890316500778)	(64, 22.427117389663483)	(66, 23.625361221456593)	(68, 24.815325280660645)	(70, 26.000809123280412)	(72, 27.17839666406013)	(74, 28.350874457109278)	(76, 29.51430873166091)	(78, 30.666957891396613)	(80, 31.810780832725904)	(82, 32.94789623153709)	(84, 34.08040998136013)	(86, 35.199032503300245)	(88, 36.30842296695792)	(90, 37.40778886611854)	(92, 38.49860656316578)	(94, 39.57604752225169)	(96, 40.64579989281992)	(98, 41.70788923958709)	(100, 42.76045253383091)	(102, 43.805221785101075)	(104, 44.835438321446276)	(106, 45.85115966347885)	(108, 46.85095738265875)	(110, 47.83920943670384)	(112, 48.81561224460449)	(114, 49.7760978208316)	(116, 50.72483640978068)	(118, 51.65739253312148)	(120, 52.58111285128717)	(122, 53.49075340178499)	(124, 54.39025754215062)	(126, 55.27361117280374)	(128, 56.14195511922266)	(130, 57.001012682336345)	(132, 57.847853506504464)	(134, 58.68253511233935)	(136, 59.50721771839378)	(138, 60.31893581754206)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1 - polya	(1, 0.02961033300280285)	(2, 0.06486407719521825)	(3, 0.0822672580211695)	(4, 0.10459803797191268)	(5, 0.11826877017415643)	(6, 0.13199063180960166)	(7, 0.14467073124356689)	(8, 0.15660306271696056)	(9, 0.1674744584514237)	(10, 0.1883991789891264)	(12, 0.20715089861576647)	(14, 0.22658967000105135)	(16, 0.2519434776898316)	(18, 0.2728681982275343)	(20, 0.29342542596410137)	(22, 0.31701526820743087)	(24, 0.34327981892511233)	(26, 0.3658566592731376)	(28, 0.38818743922388077)	(30, 0.4105373927120745)	(32, 0.43010398768036306)	(34, 0.45785768314003744)	(36, 0.48592135078849574)	(38, 0.5051651912096999)	(40, 0.5277228580202747)	(42, 0.5507982103420144)	(44, 0.5741835348525379)	(46, 0.5994318880853402)	(48, 0.6221972682182958)	(50, 0.6430964240393977)	(52, 0.6673189930185954)	(54, 0.699000068066058)	(56, 0.7237690828625964)	(58, 0.746147796656966)	(60, 0.772814991661109)	(62, 0.7956059365106654)	(64, 0.8174861383313206)	(66, 0.8395420975786059)	(68, 0.8592397117194732)	(70, 0.8848651445221363)	(72, 0.9087809369021251)	(74, 0.9231738723483398)	(76, 0.9394745747708841)	(78, 0.9586257430944108)	(80, 0.9762110725261424)	(82, 0.9935343636127163)	(84, 1.015222830058866)	(86, 1.0409473261383568)	(88, 1.0583185510685573)	(90, 1.073762835484977)	(92, 1.088689434390232)	(94, 1.1046098616533406)	(96, 1.1196642841415991)	(98, 1.1341722608125169)	(100, 1.1464337380121452)	(102, 1.16169906941236)	(104, 1.1750662206049698)	(106, 1.1852026307371617)	(108, 1.196636450236841)	(110, 1.2090161642507478)	(112, 1.2210219942843685)	(114, 1.2303307467166116)	(116, 1.2395020887971258)	(118, 1.2514695717558455)	(120, 1.262980085405327)	(122, 1.2721354495379658)	(124, 1.2817445873902673)	(126, 1.293775982140489)	(128, 1.30423195123019)	(130, 1.3139305655905944)	(132, 1.3243513831949696)	(134, 1.3350757818089785)	(136, 1.344745635863207)	(138, 1.3546295944189668)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0025309069434728965)	(4, 0.0031508513210407522)	(5, 0.0033937161287477475)	(6, 0.0035471044283521655)	(7, 0.0036429721156049266)	(8, 0.00375801334030824)	(9, 0.003853881027561001)	(10, 0.003978509020989591)	(12, 0.004103137014418181)	(14, 0.004301263568073887)	(16, 0.004448260688528121)	(18, 0.004636800473458552)	(20, 0.00485410056456481)	(22, 0.005128921268022725)	(24, 0.0053238522321033405)	(26, 0.005557130271085059)	(28, 0.005780821541341502)	(30, 0.006125945215451442)	(32, 0.006410352687634634)	(34, 0.006774649899195127)	(36, 0.0072507927458838415)	(38, 0.007739717950872924)	(40, 0.008417182940792436)	(42, 0.009027540549635015)	(44, 0.009647484927202871)	(46, 0.010305776379671831)	(48, 0.011012001675767174)	(50, 0.011833268196565827)	(52, 0.01271525091929123)	(54, 0.01362279835861737)	(56, 0.014690125276698112)	(58, 0.015629628611775172)	(60, 0.01659469666345297)	(62, 0.01748946174447874)	(64, 0.01858235337916022)	(66, 0.02013540991265495)	(68, 0.023346977435622453)	(70, 0.0340074642581295)	(72, 0.06529548178785567)	(74, 0.09519022226284171)	(76, 0.13276076889719884)	(78, 0.18913416459139754)	(80, 0.30956634890789125)	(82, 0.4735672014911899)	(84, 0.636714831657939)	(86, 0.7852298571603415)	(88, 0.9221704572217608)	(90, 1.0704649870434821)	(92, 1.2686969951551665)	(94, 1.5769148052623692)	(96, 1.984825423343718)	(98, 2.495340031502122)	(100, 3.185092063337864)	(102, 4.058411542725192)	(104, 5.033862064932463)	(106, 6.035714548209144)	(108, 7.087680267202418)	(110, 8.204685820817541)	(112, 9.338656759486827)	(114, 10.489177656565515)	(116, 11.637321035000333)	(118, 12.813163783872051)	(120, 13.987737883682456)	(122, 15.183562654167226)	(124, 16.394000855778888)	(126, 17.567871925882773)	(128, 18.736876113063794)	(130, 19.92043621075936)	(132, 21.1144299084176)	(134, 22.318432192625025)	(136, 23.5221852208456)	(138, 24.729840063937356)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2 - illumina_universal_adapter	(1, 0.011746987278038343)	(2, 0.018796457880691383)	(3, 0.034218373170085574)	(4, 0.05258023086856444)	(5, 0.06341327952812646)	(6, 0.07501326968571057)	(7, 0.09995165072972886)	(8, 0.14507337553002847)	(9, 0.21290935103008232)	(10, 0.3279761404499965)	(12, 0.4710586636747427)	(14, 0.5931972928243355)	(16, 0.6875534662080782)	(18, 0.7792573002444946)	(20, 0.9001624318181018)	(22, 1.128931493909366)	(24, 1.4449657161172436)	(26, 1.8411197601518288)	(28, 2.400290415180584)	(30, 3.1156646842294142)	(32, 3.978544172474917)	(34, 4.890408853317006)	(36, 5.846542036542845)	(38, 6.896350732572932)	(40, 8.003600151215299)	(42, 9.141124585492086)	(44, 10.300442940671005)	(46, 11.484300228197052)	(48, 12.68556069654905)	(50, 13.88903570847659)	(52, 15.102346745116261)	(54, 16.315667368524657)	(56, 17.526405955556378)	(58, 18.730788514923244)	(60, 19.9383666638652)	(62, 21.149092468538623)	(64, 22.35150654472723)	(66, 23.543055616360526)	(68, 24.728229486791513)	(70, 25.910089530833126)	(72, 27.084484677627326)	(74, 28.255460543576177)	(76, 29.41899388140464)	(78, 30.57343257130239)	(80, 31.72214796027115)	(82, 32.86431558620055)	(84, 34.00199660436652)	(86, 35.1271924540626)	(88, 36.24468373729314)	(90, 37.351070346750234)	(92, 38.44748671673304)	(94, 39.529391914455346)	(96, 40.60234307018825)	(98, 41.66488619067508)	(100, 42.71665058752512)	(102, 43.76059218109533)	(104, 44.789664696372654)	(106, 45.80445931742845)	(108, 46.80529879880984)	(110, 47.79595713180497)	(112, 48.77527751298767)	(114, 49.73987261740836)	(116, 50.69315533473322)	(118, 51.632137788709535)	(120, 52.5632878526373)	(122, 53.48024630326209)	(124, 54.385154185599205)	(126, 55.27356004337054)	(128, 56.14752183626246)	(130, 57.01058027752417)	(132, 57.86095222817276)	(134, 58.697899507016395)	(136, 59.52381561064681)	(138, 60.33464853148279)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2 - polya	(1, 0.22305854352057464)	(2, 0.44661559901486364)	(3, 0.5618485590926826)	(4, 0.6960441477090978)	(5, 0.7831814842427076)	(6, 0.8687849377802732)	(7, 0.9294883573487216)	(8, 0.9938219666744745)	(9, 1.050780155260915)	(10, 1.1501885557628784)	(12, 1.2452637368010167)	(14, 1.338840186328437)	(16, 1.4487460985845775)	(18, 1.5483717991776471)	(20, 1.646000256286284)	(22, 1.754052726588871)	(24, 1.858935172032967)	(26, 1.9571643999817212)	(28, 2.052920241599354)	(30, 2.1500917293987527)	(32, 2.237350498336216)	(34, 2.352647370205537)	(36, 2.475412334911848)	(38, 2.561987247680242)	(40, 2.6544036981919037)	(42, 2.7420075908034764)	(44, 2.82769732525957)	(46, 2.909140121170365)	(48, 2.9797243037049985)	(50, 3.049484024129258)	(52, 3.121288921881576)	(54, 3.202709348665346)	(56, 3.276431600162719)	(58, 3.346344708886583)	(60, 3.4260746687851293)	(62, 3.49553400378933)	(64, 3.558308165402438)	(66, 3.6208554401557147)	(68, 3.6761838780588585)	(70, 3.742319799904963)	(72, 3.8077782567611482)	(74, 3.853456014147514)	(76, 3.9043521693100054)	(78, 3.9603037471802915)	(80, 4.013523095963874)	(82, 4.066039415040937)	(84, 4.127116718589671)	(86, 4.195412858988538)	(88, 4.24703760857415)	(90, 4.2938689737971245)	(92, 4.339470037033688)	(94, 4.389244540255321)	(96, 4.43590334364124)	(98, 4.481571514258881)	(100, 4.524127180630381)	(102, 4.576490111407839)	(104, 4.627808084394243)	(106, 4.669079123756556)	(108, 4.713855724882746)	(110, 4.760095906034328)	(112, 4.804843746854342)	(114, 4.841244707704215)	(116, 4.876702969629436)	(118, 4.919533456704395)	(120, 4.961507525773229)	(122, 4.996051849079974)	(124, 5.030704822432272)	(126, 5.071927927950959)	(128, 5.107664206169213)	(130, 5.1394155841873275)	(132, 5.171352306400798)	(134, 5.202947100529733)	(136, 5.232161180425225)	(138, 5.262832449166957)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2 - polyg	(1, 0.4483603909228639)	(2, 0.44979840623165535)	(3, 0.4512492038987471)	(4, 0.45276391335734073)	(5, 0.4541444080537805)	(6, 0.45538429680891623)	(7, 0.4565666649517003)	(8, 0.4579918979021913)	(9, 0.4592829160905285)	(10, 0.4614495258224409)	(12, 0.46403156219911523)	(14, 0.46530340685000193)	(16, 0.46602880568354776)	(18, 0.4666902927255918)	(20, 0.4672335429533575)	(22, 0.4677959667185737)	(24, 0.4684031287378412)	(26, 0.4689943128092332)	(28, 0.4695151939099732)	(30, 0.4701095735709403)	(32, 0.47074549589638365)	(34, 0.47125998581797346)	(36, 0.4718607566580908)	(38, 0.47249987457310916)	(40, 0.47303034244257447)	(42, 0.4734553558560617)	(44, 0.4739219119340251)	(46, 0.4744779445200912)	(48, 0.47496686972508023)	(50, 0.47551651113199606)	(52, 0.47602460987443573)	(54, 0.4766094027666775)	(56, 0.47712069709869226)	(58, 0.47769909881178396)	(60, 0.478188024016773)	(62, 0.4788335331109416)	(64, 0.48660201136799036)	(66, 0.5088784662959569)	(68, 0.5398948587118003)	(70, 0.5741068407027357)	(72, 0.6717225154530723)	(74, 0.8202375409554749)	(76, 0.9643841955087267)	(78, 1.0885328505010525)	(80, 1.1848127688090004)	(82, 1.282188774341205)	(84, 1.4168509190355838)	(86, 1.6602845416869454)	(88, 1.9887911500064073)	(90, 2.4087970746294793)	(92, 2.9897424770229124)	(94, 3.7360979870022586)	(96, 4.615220657057955)	(98, 5.5371642274198845)	(100, 6.519913476216665)	(102, 7.58734265316381)	(104, 8.72665661760265)	(106, 9.895887691643502)	(108, 11.088328332768246)	(110, 12.302537330078518)	(112, 13.539722616433703)	(114, 14.77526536974729)	(116, 16.03007752819868)	(118, 17.290593814041614)	(120, 18.55183549871809)	(122, 19.79966848953748)	(124, 21.056075247186843)	(126, 22.325395382309154)	(128, 23.583176243475805)	(130, 24.83045320170913)	(132, 26.059061525644765)	(134, 27.299557442799745)	(136, 28.516220652903687)	(138, 29.742576086188883)
S1E12_val_1 - polya	(1, 0.029498281513846904)	(2, 0.06482139316261701)	(3, 0.08232813622594097)	(4, 0.10469858019926724)	(5, 0.11840596008488384)	(6, 0.1322100979461636)	(7, 0.1449627991385702)	(8, 0.1569930407793584)	(9, 0.16793314256100816)	(10, 0.18901025492630333)	(12, 0.20792321390259877)	(14, 0.22751347870853644)	(16, 0.2530704853470367)	(18, 0.27416049877575355)	(20, 0.29486025503596236)	(22, 0.31862078859298293)	(24, 0.3450969960002833)	(26, 0.3678125434201416)	(28, 0.390279745369131)	(30, 0.4127404967864096)	(32, 0.43239849217531157)	(34, 0.46030026709071603)	(36, 0.48849231593311004)	(38, 0.5078374605340343)	(40, 0.5305078542319165)	(42, 0.5537007409983797)	(44, 0.5771516490332782)	(46, 0.6024861123277531)	(48, 0.6253371209135399)	(50, 0.6462787721129065)	(52, 0.6706069524604843)	(54, 0.7023822716682714)	(56, 0.7272264945527195)	(58, 0.74966466910901)	(60, 0.7764311504432999)	(62, 0.79934343908034)	(64, 0.8212300931753503)	(66, 0.8433102632216871)	(68, 0.8630521155228305)	(70, 0.8888058633785124)	(72, 0.9128018413429801)	(74, 0.9272187797167932)	(76, 0.9435515260087374)	(78, 0.9627870115705768)	(80, 0.9803872873437085)	(82, 0.9976682617971517)	(84, 1.0194033283969564)	(86, 1.0451861036453374)	(88, 1.062550935011022)	(90, 1.0780354363829856)	(92, 1.093026472079067)	(94, 1.1090012138610574)	(96, 1.124030952747404)	(98, 1.1385607754261575)	(100, 1.1508232362085375)	(102, 1.1661013205657529)	(104, 1.1795023001951028)	(106, 1.189668338171447)	(108, 1.2011406088192444)	(110, 1.2135256297041308)	(112, 1.2255687724083408)	(114, 1.234918818123259)	(116, 1.244088248950273)	(118, 1.2560733368690848)	(120, 1.2676359149608343)	(122, 1.2768182468512697)	(124, 1.2864392148980448)	(126, 1.2984823576022548)	(128, 1.3089451200372997)	(130, 1.318656395528027)	(132, 1.3290804547728063)	(134, 1.3398012384762863)	(136, 1.349309322218121)	(138, 1.3562307427438935)
S1E12_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.002522157898953453)	(4, 0.0031478594749086574)	(5, 0.003386529148211158)	(6, 0.0035413419092722395)	(7, 0.0036380998849354154)	(8, 0.0037542094557312263)	(9, 0.0038509674313944023)	(10, 0.003976752799756532)	(12, 0.004099312902263221)	(14, 0.004296054119445012)	(16, 0.004444416348795215)	(18, 0.004634707034266127)	(20, 0.004850799846580553)	(22, 0.0051184969125820075)	(24, 0.00530878759805292)	(26, 0.005534556207933664)	(28, 0.005757099551958968)	(30, 0.006105428264346402)	(32, 0.006382801127914173)	(34, 0.006718228776879849)	(36, 0.007166540730785898)	(38, 0.0076406548115354606)	(40, 0.008279257450912422)	(42, 0.00884690424146972)	(44, 0.009433902627159655)	(46, 0.01001445048113871)	(48, 0.01061757519610584)	(50, 0.01129488102574807)	(52, 0.012052818501776284)	(54, 0.012759151724117467)	(56, 0.013507413402579362)	(58, 0.014258900346896693)	(60, 0.015010387291214027)	(62, 0.015700594184278015)	(64, 0.016474657989583426)	(66, 0.01737450716325096)	(68, 0.018874255786030185)	(70, 0.020351427547821342)	(72, 0.02158992963630999)	(74, 0.02252203146853192)	(76, 0.023350924793379794)	(78, 0.024037906420588343)	(80, 0.024918403999123245)	(82, 0.025844055299634294)	(84, 0.026808409790410614)	(86, 0.02803078554962207)	(88, 0.029659544806618865)	(90, 0.03145924315395394)	(92, 0.034226521257920764)	(94, 0.03777753896475933)	(96, 0.04257995982350829)	(98, 0.048179021348550746)	(100, 0.05524880410367346)	(102, 0.06287333258593172)	(104, 0.0711654911002659)	(106, 0.08007367539298897)	(108, 0.08905926606624257)	(110, 0.09816419157614743)	(112, 0.10821411998169597)	(114, 0.11881234358266918)	(116, 0.1304394269915275)	(118, 0.1431018207399818)	(120, 0.15741877587227637)	(122, 0.17343867137624286)	(124, 0.19003911473418844)	(126, 0.20802964767582827)	(128, 0.22674264016908652)	(130, 0.2461200374285652)	(132, 0.2655522642075864)	(134, 0.28569404947480415)	(136, 0.3063615530764585)	(138, 0.3276483077223572)
S1E12_val_2 - polya	(1, 0.22077589833652397)	(2, 0.4443771295624127)	(3, 0.5599577567579318)	(4, 0.6947158147298924)	(5, 0.7822301784513795)	(6, 0.8682931725379192)	(7, 0.9294248615619137)	(8, 0.9942075515342654)	(9, 1.0516366353562159)	(10, 1.1518811234091215)	(12, 1.2477069972400754)	(14, 1.3418783096871891)	(16, 1.4525371811873082)	(18, 1.5528010208353464)	(20, 1.6510877725140007)	(22, 1.7598856656155308)	(24, 1.86536798541767)	(26, 1.9641804554307607)	(28, 2.060551399191284)	(30, 2.158315657801357)	(32, 2.2461493228425327)	(34, 2.362245992574922)	(36, 2.4858446306870627)	(38, 2.572971962505897)	(40, 2.66606926142315)	(42, 2.754273832037701)	(44, 2.840462611492603)	(46, 2.9224617706012888)	(48, 2.9934918005356264)	(50, 3.063721964537815)	(52, 3.1360227492191957)	(54, 3.218031584125448)	(56, 3.2922481767249594)	(58, 3.3626009008296545)	(60, 3.4428777679715363)	(62, 3.5128079822491687)	(64, 3.5759748140279455)	(66, 3.6389449045895406)	(68, 3.6946291195836984)	(70, 3.7611212004594323)	(72, 3.8270069313543447)	(74, 3.872995997187052)	(76, 3.924222894768993)	(78, 3.9805682892635157)	(80, 4.03409802666624)	(82, 4.086937557175901)	(84, 4.148401448583005)	(86, 4.21713508922827)	(88, 4.269065094766697)	(90, 4.316166877319531)	(92, 4.362068860974141)	(94, 4.412163690240822)	(96, 4.459126786361873)	(98, 4.505070698472604)	(100, 4.54782159738645)	(102, 4.6005030898691945)	(104, 4.652213777329451)	(106, 4.69373262468652)	(108, 4.738757336028451)	(110, 4.785278570727306)	(112, 4.830258128347261)	(114, 4.866826192616231)	(116, 4.902446028723702)	(118, 4.945542031084081)	(120, 4.98776721166349)	(122, 5.022445270141173)	(124, 5.057239438189651)	(126, 5.098700230761322)	(128, 5.134623241859203)	(130, 5.166498544308508)	(132, 5.198570587974997)	(134, 5.2302910776632405)	(136, 5.2591604323352765)	(138, 5.28124382764747)
S1E12_val_2 - polyg	(1, 0.42608987216207245)	(2, 0.427438033289646)	(3, 0.42889585345630454)	(4, 0.43037947574980656)	(5, 0.4317534390042237)	(6, 0.43299194109271233)	(7, 0.4341594873323813)	(8, 0.43555280218193104)	(9, 0.43683000746068495)	(10, 0.4389199797350096)	(12, 0.4414485881656739)	(14, 0.44268063972245164)	(16, 0.44339342347650373)	(18, 0.44404815244515794)	(20, 0.4445899971088717)	(22, 0.4451286165067301)	(24, 0.44571561489241995)	(26, 0.44629293748054355)	(28, 0.4467896284222812)	(30, 0.44734114888356136)	(32, 0.44794427359852845)	(34, 0.4484312887426998)	(36, 0.44900861133082337)	(38, 0.4496278623750677)	(40, 0.45011810278509445)	(42, 0.45051803575116894)	(44, 0.4509792487684967)	(46, 0.45151464290049964)	(48, 0.4519919822471047)	(50, 0.4525080247839749)	(52, 0.45299181466229077)	(54, 0.4535465603894263)	(56, 0.45403035026774224)	(58, 0.45455929386803423)	(60, 0.45500760582194033)	(62, 0.4555429999539432)	(64, 0.456055817224958)	(66, 0.45657831029353924)	(68, 0.45707500123527683)	(70, 0.45750396159405027)	(72, 0.4579522735479563)	(74, 0.45855862352877885)	(76, 0.45909401766078173)	(78, 0.45971971923673693)	(80, 0.460248662837029)	(82, 0.46098724871792457)	(84, 0.4618387189037605)	(86, 0.4630804462581046)	(88, 0.4649543257201148)	(90, 0.46773773015335884)	(92, 0.47152741753349986)	(94, 0.47628790993612813)	(96, 0.48162895019273544)	(98, 0.48755053830332185)	(100, 0.49431392080217784)	(102, 0.5019513503478579)	(104, 0.511652950041019)	(106, 0.5230736164351291)	(108, 0.5361488442130797)	(110, 0.5513624232531864)	(112, 0.5691626655093552)	(114, 0.5888754904177997)	(116, 0.6109363088690037)	(118, 0.6337002352766936)	(120, 0.6580606682828258)	(122, 0.6824146507572473)	(124, 0.7076007518223719)	(126, 0.7327094465069661)	(128, 0.758118090916116)	(130, 0.783775080796135)	(132, 0.8085547983634742)	(134, 0.833211955828307)	(136, 0.8582335683348044)	(138, 0.8828778247362152)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1 - illumina_universal_adapter	(1, 0.0026076447559405472)	(2, 0.004152915722423834)	(3, 0.008370217735117806)	(4, 0.013220651602134792)	(5, 0.01582293083388616)	(6, 0.018028161275638353)	(7, 0.022562029215493832)	(8, 0.031667323764529035)	(9, 0.04414216750436807)	(10, 0.06533062252743231)	(12, 0.0965204146391245)	(14, 0.12845333185101784)	(16, 0.1604345387806138)	(18, 0.1991843544748579)	(20, 0.25979599847790813)	(22, 0.37356657338524013)	(24, 0.5547656907779731)	(26, 0.8144490132479084)	(28, 1.1617003732473248)	(30, 1.594977182571833)	(32, 2.1111593889054268)	(34, 2.6940243298621254)	(36, 3.337938205043292)	(38, 4.048092159101957)	(40, 4.807370169874642)	(42, 5.613129716698177)	(44, 6.455747731939271)	(46, 7.33961321438467)	(48, 8.251521609004808)	(50, 9.19233944795624)	(52, 10.166774978714965)	(54, 11.163539138386955)	(56, 12.17829926618945)	(58, 13.20708755698455)	(60, 14.260578721146626)	(62, 15.339089324602838)	(64, 16.428363169582543)	(66, 17.53802332371903)	(68, 18.65011674307531)	(70, 19.76894121252691)	(72, 20.899154007070045)	(74, 22.032226626006008)	(76, 23.17097865229622)	(78, 24.30879439461542)	(80, 25.456176866563922)	(82, 26.606875232461334)	(84, 27.75638513475085)	(86, 28.90613916839097)	(88, 30.056204402434062)	(90, 31.20545675956249)	(92, 32.35335432183315)	(94, 33.49662143672856)	(96, 34.63048010495824)	(98, 35.758635220974824)	(100, 36.88819073880478)	(102, 38.0104276816407)	(104, 39.12412270996745)	(106, 40.23108668819887)	(108, 41.32231626674553)	(110, 42.403152824937756)	(112, 43.4759974348502)	(114, 44.53297350697314)	(116, 45.57743717668693)	(118, 46.60536161808757)	(120, 47.62831758408903)	(122, 48.63206765625533)	(124, 49.62184590343301)	(126, 50.60570061190584)	(128, 51.566193828058985)	(130, 52.51803513645709)	(132, 53.46236739375243)	(134, 54.38998872596058)	(136, 55.30448866876409)	(138, 56.1944467039263)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1 - polya	(1, 0.027160283445619448)	(2, 0.05727697071947602)	(3, 0.07374912998025272)	(4, 0.09170217391724259)	(5, 0.10453650777775655)	(6, 0.11540705978503135)	(7, 0.12591275614744202)	(8, 0.13618773496971806)	(9, 0.14544862972023942)	(10, 0.16296974896000044)	(12, 0.1791575354387507)	(14, 0.19823197393127878)	(16, 0.22088253429589405)	(18, 0.2409737396222714)	(20, 0.262022691016417)	(22, 0.28634192940386666)	(24, 0.31531576002542827)	(26, 0.3367939533547082)	(28, 0.35821312591790705)	(30, 0.3806758929359011)	(32, 0.3994364482633622)	(34, 0.4246007567106075)	(36, 0.45022113471393277)	(38, 0.47147397602726715)	(40, 0.4923887893166833)	(42, 0.5168797244781866)	(44, 0.5451882301002902)	(46, 0.5728314107229358)	(48, 0.5946449493140392)	(50, 0.6155195211720366)	(52, 0.6405952984701603)	(54, 0.6739017898744832)	(56, 0.6991948709022686)	(58, 0.7192297382246597)	(60, 0.7439433426400139)	(62, 0.7688447404019894)	(64, 0.7911680037910648)	(66, 0.8115757750446035)	(68, 0.829603936320242)	(70, 0.8563457088791055)	(72, 0.8804074021054746)	(74, 0.8954657457424029)	(76, 0.9126568852445295)	(78, 0.9334080500461757)	(80, 0.9535207174693097)	(82, 0.9728607494092021)	(84, 0.9963322349747616)	(86, 1.0250190100522023)	(88, 1.0445736629596618)	(90, 1.0614026295790189)	(92, 1.0774321330941885)	(94, 1.09426378247564)	(96, 1.1096547886122972)	(98, 1.123817089709633)	(100, 1.137061886170619)	(102, 1.1542932671041644)	(104, 1.1700974186033883)	(106, 1.1820518064968772)	(108, 1.1946339607204997)	(110, 1.2079726538547964)	(112, 1.2211342846908502)	(114, 1.2320665402263007)	(116, 1.242033001407699)	(118, 1.255304625489631)	(120, 1.2690242708413593)	(122, 1.280600389279511)	(124, 1.2913877756618535)	(126, 1.3051020554893928)	(128, 1.3181375965070008)	(130, 1.329187893574613)	(132, 1.3400289351988475)	(134, 1.3515487156330126)	(136, 1.3619175911285994)	(138, 1.3726540050311447)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0030100590701289034)	(4, 0.003841715319451506)	(5, 0.004136819149856301)	(6, 0.004351440117423424)	(7, 0.004490943746342054)	(8, 0.004598254230125615)	(9, 0.004694833665530821)	(10, 0.004869213201679108)	(12, 0.005102613503908355)	(14, 0.005365524189178081)	(16, 0.005553317535799314)	(18, 0.005741110882420547)	(20, 0.0059584146120822586)	(22, 0.006132794148230546)	(24, 0.006352780639986849)	(26, 0.006613008563161985)	(28, 0.006932257252418081)	(30, 0.007262236990052533)	(32, 0.007680747876808423)	(34, 0.008045603521672533)	(36, 0.008488259267279724)	(38, 0.009006032351535409)	(40, 0.00967135735099349)	(42, 0.010253516725519312)	(44, 0.010900062390315272)	(46, 0.01151709767207075)	(48, 0.012241443437609793)	(50, 0.013011396158756846)	(52, 0.013781348879903902)	(54, 0.014596908556658971)	(56, 0.015428564805981572)	(58, 0.016262903817398762)	(60, 0.017236746457734584)	(62, 0.018186444239219106)	(64, 0.019162969641649517)	(66, 0.020257536576241846)	(68, 0.021639159054955198)	(70, 0.025032853104610335)	(72, 0.03446276186709082)	(74, 0.0434258700251128)	(76, 0.05448689814110341)	(78, 0.06867870962147944)	(80, 0.09654992502216497)	(82, 0.13506634041417984)	(84, 0.1795787290876012)	(86, 0.22687582481520596)	(88, 0.27990330037685296)	(90, 0.3468140697779982)	(92, 0.4452231489317134)	(94, 0.5994202658424077)	(96, 0.8311089658553064)	(98, 1.1488150669070136)	(100, 1.5692548596089133)	(102, 2.094609429543907)	(104, 2.686512595997276)	(106, 3.3389013166352495)	(108, 4.050230320491345)	(110, 4.8166874026291495)	(112, 5.6155200577244555)	(114, 6.453829557041638)	(116, 7.3108298598718235)	(118, 8.21127212929969)	(120, 9.130375691857516)	(122, 10.093905794701739)	(124, 11.092180349432983)	(126, 12.08729997594099)	(128, 13.099358562314233)	(130, 14.139629074874174)	(132, 15.206260407775545)	(134, 16.303375966357734)	(136, 17.414702115754963)	(138, 18.555667420773204)
