Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
S1E13_val_1	(1, 0.0)	(2, 0.058620614334999814)	(3, 0.2821170864995154)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014831617988135782)	(15, 0.015776348153079427)	(20, 0.0150401190678427)	(25, 6.503098916307339e-06)	(30, 0.026666343278775588)	(35, 0.0057533932450971725)	(40, 0.0)	(45, 0.0)	(50, 4.792693079302068e-06)	(55, 0.0)	(60, 0.02325902738052193)	(65, 3.2996157914174007e-05)	(70, 0.01578327410828712)	(75, 0.0)	(80, 0.014967131825715109)	(85, 0.0)	(90, 0.0)	(95, 0.01549895719046447)	(100, 0.0)	(105, 0.0)	(110, 4.516521139773565e-05)	(115, 0.030297454976546262)	(120, 0.0018568504055418017)	(125, 0.0)	(130, 0.005641612003751685)	(135, 0.018551184972425243)	(140, 5.7471766105456694e-05)	(145, 0.002806121491476808)	(150, 0.0)
S1E13_val_2	(1, 0.02239699132494532)	(2, 0.00033894077671668395)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.07570753349138375)	(8, 0.0)	(9, 0.0)	(10, 0.01411284834100326)	(15, 0.014866050067040334)	(20, 4.740326528774159e-05)	(25, 0.016217148837046145)	(30, 0.012146845891498814)	(35, 0.006392107815112768)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0311191541289604)	(70, 0.0)	(75, 0.031731878289340786)	(80, 0.0158139287478274)	(85, 0.0)	(90, 0.0)	(95, 6.7714612364739e-06)	(100, 0.016146345231341275)	(105, 0.030367581496744178)	(110, 0.00017860032845974254)	(115, 0.03752130007789991)	(120, 9.813448952335818e-05)	(125, 0.015171886209287418)	(130, 0.0038954735376587114)	(135, 0.0038707553250718046)	(140, 0.016106550319370118)	(145, 0.02005972716499015)	(150, 0.0)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 0.0)	(2, 0.058092868422614956)	(3, 0.3063852904965559)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014889243254665601)	(15, 0.015804200527328446)	(20, 0.014901350439748096)	(25, 4.323994672319684e-06)	(30, 0.026831251740678103)	(35, 0.005720644951478943)	(40, 0.0)	(45, 0.0)	(50, 4.323994672319684e-06)	(55, 0.0)	(60, 0.024408085126310156)	(65, 5.448233287122802e-05)	(70, 0.016043749832174957)	(75, 0.0)	(80, 0.01589068042077484)	(85, 0.0)	(90, 0.0)	(95, 0.015432336985508954)	(100, 0.0)	(105, 0.0)	(110, 3.7186354181949285e-05)	(115, 0.03146570923047034)	(120, 0.0017564066358962559)	(125, 0.0)	(130, 0.004740827758731301)	(135, 0.02109071641370649)	(140, 4.1510348854268966e-05)	(145, 0.002399817043137425)	(150, 0.0)
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 0.02216047269563838)	(2, 0.0002767356590284598)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.08197861499250889)	(8, 0.0)	(9, 0.0)	(10, 0.014087574642417531)	(15, 0.015009450306556088)	(20, 4.7563941395516525e-05)	(25, 0.016054127419388522)	(30, 0.012142641838808138)	(35, 0.006419402490525803)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.03135760936366235)	(70, 0.0)	(75, 0.03186697593606161)	(80, 0.01591230039413644)	(85, 0.0)	(90, 0.0)	(95, 4.323994672319684e-06)	(100, 0.01660413954170759)	(105, 0.03192578226360516)	(110, 0.00013490863377637414)	(115, 0.04232844864627185)	(120, 9.339828492210519e-05)	(125, 0.01613455372029367)	(130, 0.0035361628430230375)	(135, 0.003602752360976761)	(140, 0.017016648633446887)	(145, 0.01854907234531698)	(150, 0.0)
S1S21_val_1	(1, 0.0)	(2, 0.05809857021881199)	(3, 0.3060070894864507)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014895768330737495)	(15, 0.01579504304556003)	(20, 0.01493258844445322)	(25, 4.432502887664819e-06)	(30, 0.026704017822358022)	(35, 0.005815186275511461)	(40, 0.0)	(45, 0.0)	(50, 5.240737028746113e-06)	(55, 0.0)	(60, 0.026535469997967822)	(65, 5.895488273061692e-05)	(70, 0.016148505288967198)	(75, 0.0)	(80, 0.015494908916630657)	(85, 0.0)	(90, 0.0)	(95, 0.014504565928850487)	(100, 0.0)	(105, 0.0)	(110, 3.922951737160507e-05)	(115, 0.028897496475586194)	(120, 0.001805315206375736)	(125, 0.0)	(130, 0.005463742340041358)	(135, 0.02004524436875482)	(140, 5.1431989451641845e-05)	(145, 0.002968515232287726)	(150, 0.0)
S1S21_val_2	(1, 0.02217569457271526)	(2, 0.00027992987231829913)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.08192760059990721)	(8, 0.0)	(9, 0.0)	(10, 0.014090095166971389)	(15, 0.015007740279664814)	(20, 4.823642711135577e-05)	(25, 0.016020288073665557)	(30, 0.012165913390994787)	(35, 0.006437501737234997)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.030468193288064244)	(70, 0.0)	(75, 0.031166840552538516)	(80, 0.01549679820211977)	(85, 0.0)	(90, 0.0)	(95, 4.939867324384752e-06)	(100, 0.01590841687532376)	(105, 0.02993031669860575)	(110, 0.00016641507969657323)	(115, 0.03794864426182312)	(120, 9.934778839238985e-05)	(125, 0.015217210890957835)	(130, 0.003838292127537821)	(135, 0.003985088677819281)	(140, 0.016159333302323345)	(145, 0.01986166675119996)	(150, 0.0)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 0.0)	(2, 0.0579534642751498)	(3, 0.3036918670225776)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01496537027093499)	(15, 0.016296228970165146)	(20, 0.01507983187917782)	(25, 4.850068145882483e-06)	(30, 0.026325199882220946)	(35, 0.005756060875533332)	(40, 0.0)	(45, 0.0)	(50, 6.790095404235477e-06)	(55, 0.0)	(60, 0.024384202610238773)	(65, 5.1410722346354326e-05)	(70, 0.016169157184743023)	(75, 0.0)	(80, 0.01604790548109596)	(85, 0.0)	(90, 0.0)	(95, 0.01586942297332749)	(100, 0.0)	(105, 0.0)	(110, 3.492049065035388e-05)	(115, 0.031598193970424376)	(120, 0.0017237142190466345)	(125, 0.0)	(130, 0.00477634711006507)	(135, 0.020868873218103153)	(140, 3.589050427953038e-05)	(145, 0.0023348228054278276)	(150, 0.0)
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 0.02259646749166649)	(2, 0.00039285551981648115)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.08070998401563041)	(8, 0.0)	(9, 0.0)	(10, 0.014284420703253092)	(15, 0.015253464318800411)	(20, 6.11108586381193e-05)	(25, 0.01570258062910913)	(30, 0.012260972272790919)	(35, 0.006613552923725355)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.03152641296186532)	(70, 0.0)	(75, 0.03157491364332414)	(80, 0.01612550657143008)	(85, 0.0)	(90, 0.0)	(95, 4.850068145882483e-06)	(100, 0.016437850960024914)	(105, 0.03192605857708604)	(110, 0.00016684234421835743)	(115, 0.04254479777568115)	(120, 8.148114485082573e-05)	(125, 0.016082825971746314)	(130, 0.0035628600599652725)	(135, 0.0035880804143238612)	(140, 0.01704216945100187)	(145, 0.018644631966401443)	(150, 0.0)
S1S22_val_1	(1, 0.0)	(2, 0.05784789021014622)	(3, 0.3031934033035145)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01498130952724787)	(15, 0.01628912352893681)	(20, 0.015105048567447772)	(25, 4.988578101692583e-06)	(30, 0.026159718999234475)	(35, 0.00586721741512765)	(40, 0.0)	(45, 0.0)	(50, 7.091257858310357e-06)	(55, 0.0)	(60, 0.026579757272368155)	(65, 4.340161279579369e-05)	(70, 0.016167457210948612)	(75, 0.0)	(80, 0.015544058842141903)	(85, 0.0)	(90, 0.0)	(95, 0.015364443695988406)	(100, 0.0)	(105, 0.0)	(110, 3.974759482335275e-05)	(115, 0.02935074183419259)	(120, 0.0017424056016193288)	(125, 0.0)	(130, 0.0052863079120281185)	(135, 0.020044678709424727)	(140, 4.219948110219591e-05)	(145, 0.0029937479908614686)	(150, 0.0)
S1S22_val_2	(1, 0.022549704927541055)	(2, 0.0003985437702663813)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.08046647924612839)	(8, 0.0)	(9, 0.0)	(10, 0.014274755386380558)	(15, 0.015263734371856392)	(20, 5.9207256867693956e-05)	(25, 0.015644355717923705)	(30, 0.012238080207749668)	(35, 0.006646529955910511)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.030826726941613668)	(70, 0.0)	(75, 0.030954019656497526)	(80, 0.015910639354220633)	(85, 0.0)	(90, 0.0)	(95, 3.701529329410033e-06)	(100, 0.01590111524079092)	(105, 0.029973010587100186)	(110, 0.00016963871118377133)	(115, 0.03826970473182629)	(120, 7.966983228106083e-05)	(125, 0.015231560961074373)	(130, 0.0038313982321674074)	(135, 0.004118565778915449)	(140, 0.016381113367411517)	(145, 0.019975305011591997)	(150, 0.0)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 0.0)	(2, 0.05874348840352048)	(3, 0.2994475367254492)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01472694445805175)	(15, 0.015927058699310576)	(20, 0.015233837451438198)	(25, 3.0052944271923845e-06)	(30, 0.026793201583229176)	(35, 0.005773170594636572)	(40, 0.0)	(45, 0.0)	(50, 1.0017648090641282e-06)	(55, 0.0)	(60, 0.023345127110430446)	(65, 4.207412198069339e-05)	(70, 0.015953104584346244)	(75, 0.0)	(80, 0.015710677500552724)	(85, 0.0)	(90, 0.0)	(95, 0.016142438133259364)	(100, 0.0)	(105, 0.0)	(110, 3.406000350818036e-05)	(115, 0.03139130205683353)	(120, 0.0016869719384639918)	(125, 0.0)	(130, 0.004896626386705459)	(135, 0.021226394539259813)	(140, 5.109000526227054e-05)	(145, 0.002459332606252435)	(150, 0.0)
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 0.02334612887523951)	(2, 0.0002905117946285972)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.07924460522101787)	(8, 0.0)	(9, 0.0)	(10, 0.014147924398412684)	(15, 0.014956348599327434)	(20, 4.60811812169499e-05)	(25, 0.015729711031924942)	(30, 0.012311689503398136)	(35, 0.006392261246638203)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0316768050274168)	(70, 0.0)	(75, 0.03158564442979196)	(80, 0.016181506960812865)	(85, 0.0)	(90, 0.0)	(95, 3.0052944271923845e-06)	(100, 0.016518099936658412)	(105, 0.03204445271234334)	(110, 0.00015928060464119638)	(115, 0.042231399055716455)	(120, 8.014118472513027e-05)	(125, 0.01588197928290269)	(130, 0.0036043497830127334)	(135, 0.0036874962621650563)	(140, 0.016953867628601307)	(145, 0.018586744267375836)	(150, 0.0)
S1S23_val_1	(1, 0.0)	(2, 0.05880593828489053)	(3, 0.29931148068277647)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014715357465645165)	(15, 0.015930118548170828)	(20, 0.015245233084713346)	(25, 2.0388133588392964e-06)	(30, 0.026671780658840676)	(35, 0.005807672271578177)	(40, 0.0)	(45, 0.0)	(50, 1.1669173107807114e-06)	(55, 0.0)	(60, 0.024992412793434633)	(65, 4.043113519293862e-05)	(70, 0.015856968811425398)	(75, 0.0)	(80, 0.015207050114064672)	(85, 0.0)	(90, 0.0)	(95, 0.015498839263106249)	(100, 0.0)	(105, 0.0)	(110, 4.075474923340802e-05)	(115, 0.029508177610901045)	(120, 0.0018444942660221747)	(125, 0.0)	(130, 0.005634556134158591)	(135, 0.020157944574196684)	(140, 6.086657435589072e-05)	(145, 0.002987884986614877)	(150, 0.0)
S1S23_val_2	(1, 0.023331686074257417)	(2, 0.0002925919550933903)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.07922179418597589)	(8, 0.0)	(9, 0.0)	(10, 0.014142280808772592)	(15, 0.01494741315416751)	(20, 4.6502711987616694e-05)	(25, 0.015679270415072263)	(30, 0.012278199169250884)	(35, 0.0064095180344974105)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.030907023609713626)	(70, 0.0)	(75, 0.031129691930853423)	(80, 0.015943490085211145)	(85, 0.0)	(90, 0.0)	(95, 1.6823537744363988e-06)	(100, 0.01597752856106568)	(105, 0.03058701129214829)	(110, 0.0001860064085020429)	(115, 0.038304832817827775)	(120, 8.768303753888341e-05)	(125, 0.014993161704917385)	(130, 0.003986459310740711)	(135, 0.0040651727902069265)	(140, 0.016023753863749733)	(145, 0.019562744773239014)	(150, 0.0)
